name,tweet
"Strengmann-Kuhn, Dr. Wolfgang","['Diagnose, dass (Mehr-)Arbeit durch #HartzIV zu wenig belohnt wird, ist richtig. \nVerbesserung der Zuverdienste aber falscher Weg, weil noch mehr Erwerbstätige Hartz IV beziehen\nRichtig: #Garantiesicherung, die automatisch durch Finanzamt ausgezahlt wird\nhttps://t.co/Fi2dp5mbVp https://t.co/K6YrCiLPml']"
"Strengmann-Kuhn, Dr. Wolfgang",['@schnatalie30 siehe dazu auch den Kommentar von @stefansell dazu in seinem Text zum Sanktionsurteil \nhttps://t.co/rle5UrI8qe']
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft 1/2 \nZiel muss erstens sein, dass Menschen, die nicht erwerbstätig sind, das Existenzminimum garantiert wird.\nZweitens ist das Ziel, dass Erwerbstätige ein Netto-Einkommen erhalten, dass a) darüber liegt und b) das signifikant bei Mehrarbeit steigt\nSoweit - hoffentlich - Konsens']"
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft 2/2\nNun ist die Frage, ob Erwerbstätige dazu eine bedürftigkeitsgeprüfte Leistung beim Jobcenter beantragen müssen, die auch noch Arbeitslosengeld II heißt. Ich finde: Nein.\nAlternative: eine automatich ausgezahlte Leistung mit Einkommensprüfung durch das Finanzamt']"
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft bei Geringfügig Beschäftigten würde ich noch zustimmen, aber auch bei:\n- Teilzeit Erwerbstätigen Alleinerziehenden\n- Selbständigen\n- Künstlerinnen und Künstlern\n- Vollzeit Erwerbstätigen? \nDie brauchen keine Betreuung durchs Jobcenter.']"
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft Es wäre besser, wenn sich das Jobcenter auf die Langzeitarbeitslosen konzentrieren könnten. Lanzeitarbeitslose gibt es ca. 750.000, die Jobcenter betreuen aber ca. 4 Mio. Menschen. Mit besseren Zuverdienstmöglichkeiten werden das noch viel mehr. Macht das wirklich Sinn?']"
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft Vielleicht. Möglichkeit der Unterstützung sollte es unbedingt geben. Ob sie die nutzen, sollten sie aber selbst entscheiden. Ich bin da für Freiheit und Selbstbestimmung und nicht nicht für einen paternalistischen Staat.']"
"Strengmann-Kuhn, Dr. Wolfgang","['@HSchaeferIW @Kai_Whittaker @APeichl @MichaelOpielka @SBachTax @FAZ_NET @FAZ_Wirtschaft die Gewährung des Existenzminimums ist ein Menschenrecht - sagt auch das BVerfG. Ein Menschenrecht muss sich jemand nicht verdienen. Anderen Menschen ein Menschenrecht zu gewähren sollte nicht an irgendwelche ""Bemühungen"" geknüpft werden und muss auch nicht austariert werden.']"
"Strengmann-Kuhn, Dr. Wolfgang",['@APeichl @FuestClemens @ifo_Institut @johannesvogel @AnkeHassel @hubertus_heil @MFratzscher @c_lindner Ich hatte den Artikel schon auf Twitter kommentiert:\nhttps://t.co/wMgjSqQK3n']
"Strengmann-Kuhn, Dr. Wolfgang","['@MariusMeiners @APeichl @FuestClemens @ifo_Institut @johannesvogel @AnkeHassel @hubertus_heil @MFratzscher @c_lindner Mein Vorschlag ist ein tax credit, der die Erwerbstätigen aus dem Arbeitslosengeld II-Bezug herausholt. Die Parameter sind durchaus ähnlich wie bei den Vorschlägen von @APeichl u.a., also geringere Grenzbelastung als bei Hartz IV, außerdem ist eine Anhebung des ALG II notwendig.']"
"Strengmann-Kuhn, Dr. Wolfgang",['@MariusMeiners @APeichl @FuestClemens @ifo_Institut @johannesvogel @AnkeHassel @hubertus_heil @MFratzscher @c_lindner Der zentrale Unterschied ist die automatische Auszahlung des tax credits. Dadurch wird verdeckte Armut bekämpft und die mit ALG II-Bezug einhergehende Stigmatisierung vermieden. Außerdem ist die Einkommensprüfung durch das Finanzamt unbürokratischer und einfacher als d. Jobcenter']
"Strengmann-Kuhn, Dr. Wolfgang","['@MariusMeiners @APeichl @FuestClemens @ifo_Institut @johannesvogel @AnkeHassel @hubertus_heil @MFratzscher @c_lindner Ein tax credit ist eine Steuergutschrift/ negative Einkommensteuer, die über die Einkommensteuer geregelt ist und vom Finanzamt ausgezahlt wird.']"
