,tweet_id,annotation_qualifier,party,date
0,1261283547698036736,humour or sarcasm,Die Linke,Fri May 15 13:13:25 +0000 2020
1,1326574669101735943,frustration,Die Linke,Wed Nov 11 17:17:02 +0000 2020
2,1328977944275013639,frustration,Die Linke,Wed Nov 18 08:26:47 +0000 2020
3,1238376479291052035,concern,Die Linke,Fri Mar 13 08:08:55 +0000 2020
4,1252975112913145856,concern,Die Linke,Wed Apr 22 14:58:40 +0000 2020
5,1328975343248699392,concern,Die Linke,Wed Nov 18 08:16:27 +0000 2020
6,1258474494328549376,frustration,Die Linke,Thu May 07 19:11:15 +0000 2020
7,1337688678488006656,frustration,Die Linke,Sat Dec 12 09:20:08 +0000 2020
8,1241792023188983809,humour or sarcasm,Die Linke,Sun Mar 22 18:21:04 +0000 2020
9,1244642534237908992,concern,Die Linke,Mon Mar 30 15:07:59 +0000 2020
10,1251907436916674560,frustration,Die Linke,Sun Apr 19 16:16:06 +0000 2020
11,1239325197620195328,frustration,Die Linke,Sun Mar 15 22:58:47 +0000 2020
12,1245079034842710017,frustration,Die Linke,Tue Mar 31 20:02:29 +0000 2020
13,1239840844963811329,frustration,Die Linke,Tue Mar 17 09:07:47 +0000 2020
14,1330450670802100225,frustration,Die Linke,Sun Nov 22 09:58:53 +0000 2020
15,1330460397032366082,frustration,SPD,Sun Nov 22 10:37:32 +0000 2020
16,1265296393956208641,concern,SPD,Tue May 26 14:59:03 +0000 2020
17,1327692049181782017,frustration,SPD,Sat Nov 14 19:17:06 +0000 2020
18,1289518034621612032,frustration,SPD,Sat Aug 01 11:07:12 +0000 2020
19,1290256905634484225,concern,SPD,Mon Aug 03 12:03:12 +0000 2020
20,1344758901783359489,relief,SPD,Thu Dec 31 21:34:41 +0000 2020
21,1225034218671083520,concern,SPD,Wed Feb 05 12:31:32 +0000 2020
22,1289611089655869440,frustration,SPD,Sat Aug 01 17:16:58 +0000 2020
23,1279891156915101703,frustration,SPD,Sun Jul 05 21:33:25 +0000 2020
24,1240736736906543105,frustration,SPD,Thu Mar 19 20:27:44 +0000 2020
25,1329491847140560898,concern,SPD,Thu Nov 19 18:28:51 +0000 2020
26,1329048320736710656,relief,SPD,Wed Nov 18 13:06:26 +0000 2020
27,1339959918045110273,humour or sarcasm,SPD,Fri Dec 18 15:45:14 +0000 2020
28,1291691949855051776,frustration,SPD,Fri Aug 07 11:05:33 +0000 2020
29,1311709674903932929,relief,SPD,Thu Oct 01 16:48:51 +0000 2020
30,1241857553409216513,frustration,Bündnis 90/Die Grünen,Sun Mar 22 22:41:27 +0000 2020
31,1240569679825027072,downplayed risk,Bündnis 90/Die Grünen,Thu Mar 19 09:23:54 +0000 2020
32,1239489891219767297,concern,Bündnis 90/Die Grünen,Mon Mar 16 09:53:13 +0000 2020
