name,screen_name,party,covid_tweets
"Altmaier, Peter",peteraltmaier,CDU,23
"Annen, Niels",NielsAnnen,SPD,131
"Baerbock, Annalena",ABaerbock,Bündnis 90/Die Grünen,44
"Bahr, Ulrike",MdB_Ulrike_Bahr,SPD,0
"Bär, Dorothee",DoroBaer,CSU,11
"Bareiß, Thomas",Thomas_Bareiss,CDU,97
"Bartke, Dr. Matthias",matthiasbartke,SPD,4
"Bartol, Sören",soerenbartol,SPD,7
"Bartsch, Dr. Dietmar",DietmarBartsch,Die Linke,118
"Bas, Bärbel",baerbelbas,SPD,108
"Beermann, Maik",MaikBeermann,CDU,18
"Behrens, Manfred",Manfredbehrens,CDU,0
"Benning, Sybille",SybilleBenning,CDU,0
"Bilger, Steffen",SteffenBilger,CDU,17
"Binding, Lothar",Lothar_Binding,SPD,3
"Birkwald, Matthias W.",MWBirkwald,Die Linke,2
"Brantner, Dr. Franziska",fbrantner,Bündnis 90/Die Grünen,104
"Braun, Dr. Helge",HBraun,CDU,25
"Brehmer, Heike",HeikeBrehmerMdB,CDU,10
"Brinkhaus, Ralph",rbrinkhaus,CDU,30
"Brugger, Agnieszka",agnieszka_mdb,Bündnis 90/Die Grünen,50
"Brunner, Dr. Karl-Heinz",BrunnerGanzOhr,SPD,15
"Buchholz, Christine",ch_buchholz,Die Linke,24
"Bülow, Marco",marcobuelow,Fraktionslos,151
"Castellucci, Prof. Dr. Lars",larscastellucci,SPD,30
"Dagdelen, Sevim",SevimDagdelen,Die Linke,39
"De Ridder, Dr. Daniela",DeRidder_MdB,SPD,0
"Dehm, Dr. Diether",Diether_Dehm,Die Linke,52
"Deligöz, Ekin",ekindeligoez,Bündnis 90/Die Grünen,67
"Diaby, Dr. Karamba",KarambaDiaby,SPD,17
"Dittmar, Sabine",dittmarsabine,SPD,10
"Dörner, Katja",katjadoerner,Bündnis 90/Die Grünen,98
"Dröge, Katharina",katdro,Bündnis 90/Die Grünen,68
"Durz, Hansjörg",Hansjoerg_Durz,CSU,4
"Ebner, Harald",ebner_sha,Bündnis 90/Die Grünen,7
"Ernst, Klaus",ernst_klaus,Die Linke,31
"Esken, Saskia",EskenSaskia,SPD,337
"Feiler, Uwe",UweFe,CDU,0
"Felgentreu, Dr. Fritz",fritzfelgentreu,SPD,71
"Fischer, Axel",Axel_Fischer,CDU,12
"Franke, Dr. Edgar",FrankeEdgar,SPD,4
"Freese, Ulrich",UliFreese,SPD,3
"Frieser, Michael",MichaelFrieser,CSU,6
"Fuchtel, Hans-Joachim",fuchtel,CDU,0
"Gastel, Matthias",MatthiasGastel,Bündnis 90/Die Grünen,43
"Gebhart, Dr. Thomas",thomasgebhart,CDU,25
"Gehring, Kai",KaiGehring,Bündnis 90/Die Grünen,366
"Gerdes, Michael",GerdesMdB,SPD,0
"Gohlke, Nicole",NicoleGohlke,Die Linke,256
"Göring-Eckardt, Katrin",GoeringEckardt,Bündnis 90/Die Grünen,106
"Glöckner, Angelika",A_Gloeckner,SPD,20
"Griese, Kerstin",KerstinGriese,SPD,51
"Gröhe, Hermann",groehe,CDU,59
"Groß, Michael ",michaelgrossmdb,SPD,0
"Grosse-Brömer, Michael",MGrosseBroemer,CDU,24
"Grötsch, Uli",UliGroetsch,SPD,39
"Grübel, Markus",GruebelMdb,CDU,3
"Güntzler, Fritz",FGuentzler,CDU,0
"Gutting, Olav",olavgutting,CDU,30
"Gysi, Dr. Gregor",GregorGysi,Die Linke,14
"Hahn, Florian",hahnflo,CSU,89
"Hajduk, Anja",HajdukBundestag,Bündnis 90/Die Grünen,5
"Hakverdi, Metin",MetinHakverdi,SPD,20
"Hänsel, Heike",HeikeHaensel,Die Linke,46
"Hardt, Jürgen",juergenhardt,CDU,27
"Hartmann, Sebastian",sebast_hartmann,SPD,47
"Haßelmann, Britta",BriHasselmann,Bündnis 90/Die Grünen,147
"Hauer, Matthias",MatthiasHauer,CDU,237
"Hauptmann, Mark",MarkHauptmann,CDU,19
"Heider, Dr. Matthias",MatthiasHeider,CDU,0
"Heil, Hubertus",hubertus_heil,SPD,29
"Heil, Mechthild",MechthildHeil,CDU,7
"Heinrich, Frank",FrankHeinrich,CDU,0
"Heinrich, Gabriela",GaHeinrich,SPD,0
"Held, Marcus",MarcusHeld_SPD,SPD,0
"Hellmich, Wolfgang",HellmichMdB,SPD,3
"Herzog, Gustav",GustavHerzogMdB,SPD,0
"Hirte, Christian",ChristianHirte,CDU,37
"Hirte, Prof. Dr. Heribert",HHirte,CDU,90
"Hitschler, Thomas",ThomasHitschler,SPD,24
"Hofreiter, Dr. Anton",ToniHofreiter,Bündnis 90/Die Grünen,0
"Hunko, Andrej",AndrejHunko,Die Linke,108
"Janecek, Dieter",DJanecek,Bündnis 90/Die Grünen,526
"Jarzombek, Thomas",tj_tweets,CDU,25
"Jelpke, Ulla",UllaJelpke,Die Linke,62
"Jurk, Thomas",thomas_jurk,SPD,0
"Kaczmarek, Oliver",KaczmarekOliver,SPD,22
"Karliczek, Anja",AnjaKarliczek,CDU,0
"Kaufmann, Dr. Stefan",StefanKaufmann,CDU,99
"Kekeritz, Uwe",UweKekeritz,Bündnis 90/Die Grünen,29
"Kemmer, Ronja",RonjaKemmer,CDU,1
"Kiesewetter, Roderich",RKiesewetter,CDU,49
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,175
"Kipping, Katja",katjakipping,Die Linke,206
"Kiziltepe, Cansel",CanselK,SPD,55
"Klare, Arno",arnoklare,SPD,17
"Klein, Volkmar",VolkmarKlein,CDU,1
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,437
"Klingbeil, Lars",larsklingbeil,SPD,37
"Koeppen, Jens",JensKoeppen,CDU,7
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,24
"Kolbe, Daniela",danielakolbe,SPD,54
"Koob, Markus",KoobMar,CDU,0
"Korte, Jan",jankortemdb,Die Linke,67
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,2
"Kramme, Anette",AnetteKramme,SPD,0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,9
"Krings, Dr. Günter",guenterkrings,CDU,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,19
"Kruse, Rüdiger",RuedigerKruse,CDU,8
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,57
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,23
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,19
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,418
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,19
"Lange, Christian",LangeMdB,SPD,40
"Lange, Ulrich",UlrichLange,CSU,0
"Launert, Dr. Silke",DrLaunert,CSU,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,1764
"Lay, Caren",CarenLay,Die Linke,160
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,26
"Leidig, Sabine",SabineLeidig,Die Linke,49
"Leikert, Dr. Katja",KLeikert,CDU,135
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,16
"Lenz, Dr. Andreas",DerLenzMdB,CSU,119
"Leutert, Michael",MichaelLeutert,Die Linke,3
"Liebich, Stefan",berlinliebich,Die Linke,150
"Lindholz, Andrea",AndreaLindholz,CSU,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,14
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,44
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,92
"Lutze, Thomas",thlutze,Die Linke,0
"Magwas, Yvonne",YvonneMagwas,CDU,0
"Manderla, Gisela",ManderlaGisela,CDU,25
"Mattfeldt, Andreas",AMattfeldt,CDU,0
"Mattheis, Hilde",HildeMattheis,SPD,82
"Meister, Dr. Michael",meister_schafft,CDU,23
"Metzler, Jan",JanMetzler,CDU,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,2
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,18
"Mindrup, Klaus",KlausMindrup,SPD,33
"Möhring, Cornelia",Conni_Moehring,Die Linke,73
"Möring, Karsten",KarstenMoering,CDU,0
"Movassat, Niema",NiemaMovassat,Die Linke,649
"Müller, Bettina",BetMueller,SPD,44
"Müller, Carsten",CarstenMuellers,CDU,0
"Müller, Stefan",smuellermdb,CSU,22
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,32
"Müller, Norbert",Norbert_MdB,Die Linke,16
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,18
"Nick, Dr. Andreas",DrAndreasNick,CDU,28
"Nissen, Ulli",UlliNissen,SPD,112
"Nord, Thomas",NordMdb,Die Linke,41
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,99
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,33
"Oellers, Wilfried",WilfriedOellers,CDU,0
"Oppermann, Thomas",ThomasOppermann,SPD,24
"Oßner, Florian",Florian_Ossner,CSU,1
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,134
"Özdemir, Mahmut",oezdemir_spd,SPD,5
"Özoguz, Aydan",oezoguz,SPD,67
"Pantel, Sylvia",SylviaPantel,CDU,10
"Paschke, Markus",MarkusPaschke,SPD,9
"Pau, Petra",PetraPauMaHe,Die Linke,45
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,79
"Petry, Christian",CPetryMdB,SPD,5
"Post, Achim",Achim_P,SPD,84
"Post, Florian",FlorianPost,SPD,30
"Pronold, Florian",FlorianPronold,SPD,7
"Rabanus, Martin",MartinRabanus,SPD,0
"Radwan, Alexander",AlexanderRadwan,CSU,0
"Rawert, Mechthild",MechthildRawert,SPD,9
"Renner, Martina",MartinaRenner,Die Linke,92
"Rimkus, Andreas",Andreas_Rimkus,SPD,39
"Rix, Sönke",SoenkeRix,SPD,73
"Rohde, Dennis",DennisRohde,SPD,7
"Rosemann, Dr. Martin",MartinRosemann,SPD,55
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,14
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,74
"Roth, Michael",MiRo_SPD,SPD,283
"Rüddel, Erwin",Erwin_Rueddel,CDU,241
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,13
"Rüthrich, Susann",SusannRuethrich,SPD,0
"Saathoff, Johann",Johann_Saathoff,SPD,3
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,10
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,32
"Scheuer, Andreas",AndiScheuer,CSU,14
"Schiefner, Udo",UdoSchiefner,SPD,0
"Schimke, Jana",JanaSchimke,CDU,30
"Schipanski, Tankred",TSchipanski,CDU,47
"Schmidt, Dagmar",dieschmidt,SPD,3
"Schneider , Carsten",schneidercar,SPD,34
"Schnieder, Patrick",PSchnieder,CDU,5
"Schön, Nadine",NadineSchoen,CDU,3
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,352
"Schummer, Uwe",UweSchummer,CDU,169
"Schuster, Armin",armin_schuster,CDU,19
"Schwabe, Frank",FrankSchwabe,SPD,47
"Schwartze, Stefan",s_schwartze,SPD,10
"Schwarz, Andreas",Schwarz_MdB,SPD,49
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,30
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,7
"Siebert, Bernd",BerndSiebert,CDU,1
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,33
"Sorge, Tino",TinoSorge,CDU,106
"Spahn, Jens",jensspahn,CDU,158
"Spiering, Rainer",rainerspiering,SPD,0
"Stadler, Svenja",stadler_svenja,SPD,10
"Stamm-Fibich, Martina",stamm_fibich,SPD,4
"Steffel, Dr. Frank",franksteffel,CDU,2
"Steffen, Sonja",SteffenSonja,SPD,7
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,9
"Steineke, Sebastian",SteinekeCDU,CDU,245
"Steiniger, Johannes",JoSteiniger,CDU,45
"Storjohann, Gero",gero_storjohann,CDU,19
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,28
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,17
"Tauber, Dr. Peter",petertauber,CDU,17
"Thews, Michael",michael_thews,SPD,90
"Träger, Carsten",CarstenTraeger,SPD,8
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,38
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,123
"Ullrich, Dr. Volker",VolkerUllrich,CSU,30
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,16
"Vogler, Kathrin",voglerk,Die Linke,62
"Vogt, Ute",UteVogt,SPD,5
"Vries, Kees de",KEESdeVriesCDU,CDU,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,90
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,3
"Wadephul, Dr. Johann",JoWadephul,CDU,10
"Wanderwitz, Marco",wanderwitz,CDU,133
"Warken, Nina",ninawarken,CDU,1
"Weber, Gabi",GabiWeberSPD,SPD,1
"Wegner, Kai",kaiwegner,CDU,83
"Weinberg, Harald",HaraldWeinberg,Die Linke,0
"Weinberg, Marcus",MarcusWeinberg,CDU,36
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,29
"Weiß, Peter",PeterWeissMdB,CDU,0
"Wendt, Marian",MdbWendt,CDU,55
"Werner, Katrin",Katrin_Werner,Die Linke,33
"Whittaker, Kai",Kai_Whittaker,CDU,97
"Widmann-Mauz, Annette",AWidmannMauz,CDU,51
"Wiese, Dirk",DirkWieseSPD,SPD,85
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,32
"Zech, Tobias",TobiasZech,CSU,2
"Zierke, Stefan",zierke,SPD,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,7
"Zimmermann, Dr. Jens",JensZSPD,SPD,100
"Müller, Detlef",MuellerChemnitz,SPD,80
"Abercron, Dr. Michael von",mvabercron,CDU,17
"Achelwilm, Doris",DorisAchelwilm,Die Linke,52
"Akbulut, Gökay",AkbulutGokay,Die Linke,69
"Aschenberg-Dugnus, Christine",cad59,FDP,81
"Aumer, Peter",PeterAumer,CSU,0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,8
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,42
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,9
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,181
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,179
"Beeck, Jens",jensbeeck,FDP,15
"Bernhard, Marc",MarcBernhardAfD,AfD,88
"Bernstiel, Christoph",c_bernstiel,CDU,3
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,451
"Beyer, Peter",Peter_Beyer,CDU,60
"Bleck, Andreas",andreasbleckmdb,AfD,8
"Boehringer, Peter",PeterBoehringer,AfD,55
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,43
"Brandenburg, Mario",BraFDP,FDP,52
"Brandner, Stephan",StBrandner,AfD,218
"Brandt, Michel",michel_brandt_,Die Linke,56
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1
"Breymaier, Leni",LeniBreymaier,SPD,41
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,0
"Bühl, Marcus",Marcus_Buehl,AfD,27
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,8
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,448
"Büttner, Matthias",Buettner_MdB,AfD,25
"Bystron, Petr",PetrBystronAfD,AfD,37
"Cezanne, Jörg",joerg_cezanne,Die Linke,0
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,81
"Cotar, Joana",JoanaCotar,AfD,245
"Curio, Dr. Gottfried",GottfriedCurio,AfD,19
"De Masi, Fabio",FabioDeMasi,Die Linke,695
"Domscheit-Berg, Anke",anked,Die Linke,622
"Chrupalla, Tino",Tino_Chrupalla,AfD,84
"Droese, Siegbert",Siegbert_Droese,AfD,0
"Dürr, Christian",christianduerr,FDP,53
"Ebbing, Hartmut",HartmutEbbing,FDP,34
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,0
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,18
"Erndl, Thomas",TErndl,CSU,20
"Espendiller, Dr. Michael",DrMEspendiller,AfD,87
"Faber, Dr. Marcus",MarcusFaber,FDP,28
"Felser, Peter",PeterFelser,AfD,47
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,4
"Föst, Daniel",DFoest,FDP,178
"Fricke, Otto",Otto_Fricke,FDP,57
"Friesen, Dr. Anton",DrFriesenMdB,AfD,112
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,23
"Frömming, Dr. Götz",GtzFrmming,AfD,254
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,39
"Gehrke, Dr. Axel",axelgehrke,AfD,2
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,48
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0
"Gottschalk, Kay",KayGottschalk1,AfD,16
"Gremmels, Timon",Timon_Gremmels,SPD,83
"Jensen, Gyde",GydeJ,FDP,66
"Hacker, Thomas",hacker_fdp,FDP,41
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,2
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,7
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,9
"Haug, Jochen",Jochen_Haug,AfD,1
"Helling-Plahr, Katrin",KatrinHelling,FDP,30
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,316
"Henrichmann, Marc",MarcHenrichmann,CDU,52
"Herbst, Torsten",torstenherbst,FDP,111
"Herdt, Waldemar",WaldemarHerdt,AfD,0
"Herrmann, Lars",hermiworld,AfD,1
"Hess, Martin",Martin_Hess_AfD,AfD,27
"Hessel, Katja",fdp_hessel,FDP,18
"Höchst, Nicole",Nicole_Hoechst,AfD,31
"Höferlin, Manuel",ManuelHoeferlin,FDP,28
"Höhn, Matthias",MatthiasHoehn,Die Linke,29
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,13
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,9
"Houben, Reinhard",HoubenReinhard,FDP,14
"Jongen, Dr. Marc",Marc_Jongen,AfD,15
"Jung, Dr. Christian",c_jung77,FDP,257
"Jung, Ingmar",Ingmar_Jung,CDU,1
"Juratovic, Josip",josip_juratovic,SPD,5
"Kaiser, Elisabeth",Kaiser_SPD,SPD,33
"Kartes, Torbjörn",KartesMdB,CDU,4
"Katzmarek, Gabriele",GabyKatzmarek,SPD,0
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,181
"Kestner, Jens",KestnerJens,AfD,11
"Keuter, Stefan",StefanKeuterAfD,AfD,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,45
"Kluckert, Daniela",DanielaKluckert,FDP,96
"Kober, Pascal",PascalKober,FDP,11
"Köhler, Dr. Lukas",koehler_fdp,FDP,23
"Komning, Enrico",EnricoKomning,AfD,3
"Konrad, Carina",carina_konrad,FDP,79
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,10
"Kotré, Steffen",SteffenKotre,AfD,16
"Krauß, Alexander",kraussalex,CDU,0
"Kuffer, Michael",MichaelKuffer,CSU,0
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,173
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,99
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,100
"Lindh, Helge",helgelindh,SPD,46
"Lindner, Christian",c_lindner,FDP,229
"Link, Michael",michael_g_link,FDP,16
"Löbel, Nikolas",NikolasLoebel,CDU,26
"Lucassen, Rüdiger",MdB_Lucassen,AfD,6
"Luksic, Oliver",OlliLuksic,FDP,484
"Maas, Heiko",HeikoMaas,SPD,178
"Maier, Jens",JensMaierAfD,AfD,59
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,29
"Matschie, Christoph",matschie,SPD,8
"Meiser, Pascal",pascalmeiser,Die Linke,46
"Miazga, Corinna",CorinnaMiazga,AfD,29
"Mohrs, Falko",FalkoMohrs,SPD,6
"Mrosek, Andreas",mrosek1958,AfD,19
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,57
"Müller, Sepp",mueller_sepp,CDU,57
"Müller-Böhm, Roman",muellerboehm,FDP,3
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,137
"Nastic, Zaklin",ZaklinNastic,Die Linke,60
"Freihold, Brigitte",MdB_Freihold,Die Linke,48
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,39
"Neumann, Christoph",Neumann_AfD,AfD,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,5
"Oehme, Ulrich",Ulrich_Oehme,AfD,0
"Ortleb, Josephine",joloulou,SPD,5
"Oster, Josef",josefoster,CDU,0
"Pasemann, Frank",Frank_Pasemann,AfD,31
"Pellmann, Sören",LINKEPELLI,Die Linke,125
"Perli, Victor",victorperli,Die Linke,94
"Peterka, Tobias",TobiasMPeterka,AfD,114
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,57
"Pflüger, Tobias",tpflueger,Die Linke,11
"Pilsinger, Stephan",StephPilsinger,CSU,7
"Podolay, Paul Viktor",Paul_Podolay,AfD,1
"Pohl, Jürgen",Pohl_MdB,AfD,10
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,67
"Protschka, Stephan",AfDProtschka,AfD,182
"Reichardt, Martin",M_Reichardt_AfD,AfD,115
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,2
"Renner, Martin Erwin",Renner_AfD,AfD,25
"Riexinger, Bernd",b_riexinger,Die Linke,117
"Reuther, Bernd",reuther_bernd,FDP,21
"Ullrich, Gerald",G_UllrichFDP,FDP,94
"Rouenhoff, Stefan",StefanRouenhoff,CDU,1
"Sattelberger, Thomas",th_sattelberger,FDP,258
"Schäfer, Anita",SchaeferCDU,CDU,0
"Schäffler, Frank",f_schaeffler,FDP,94
"Scheer, Nina",NinaScheer_SPD,SPD,5
"Schielke-Ziesing, Ulrike",ulschzi,AfD,62
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,40
"Schmid, Dr. Nils",NilsSchmid,SPD,80
"Schneider, Jörg",Schneider_AfD,AfD,42
"Schraps, Johannes",jschraps,SPD,4
"Schreiner, Felix",felixschreiner,CDU,20
"Schrodi, Michael",mischrodi,SPD,19
"Schulz, Martin",MartinSchulz,SPD,13
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,8
"Schweiger, Torsten",cdu_schweiger,CDU,2
"Seitz, Thomas",Th_Seitz_AfD,AfD,0
"Sichert, Martin",Martin_Sichert,AfD,52
"Simon, Björn",BjoernSimon,CDU,25
"Sitta, Frank",franksitta,FDP,2
"Solms, Dr. Hermann Otto",solms,FDP,11
"Sommer, Evrim",HESommer,Die Linke,152
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,18
"Mieruch, Mario",MieruchMario,Fraktionslos,257
"Staffler, Katrin",katrin_staffler,CSU,7
"Stark-Watzinger, Bettina",starkwatzinger,FDP,123
"Steier, Andreas",AndreasSteier,CDU,45
"Stein, Jens Mathias",stonie_kiel,SPD,12
"Stein, Peter",Peter_Stein_CDU,CDU,49
"Storch, Beatrix von",Beatrix_vStorch,AfD,100
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,96
"Strasser, Benjamin",bstrasser,FDP,41
"Suding, Katja",KatjaSuding,FDP,116
"Teuteberg, Linda",LindaTeuteberg,FDP,26
"Theurer, Michael",EUTheurer,FDP,62
"Thomae, Stephan",StephanThomae,FDP,95
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,8
"Toncar, Dr. Florian",florian_toncar,FDP,30
"Töns, Markus",Toens_NRW04,SPD,4
"Uhl, Markus",uhl_markus,CDU,1
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,343
"Vogel, Johannes",johannesvogel,FDP,89
"Wagner, Andreas",Andi_Wagner,Die Linke,66
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,14
"Weeser, Sandra",sandra_weeser,FDP,223
"Weidel, Dr. Alice",Alice_Weidel,AfD,119
"Weyel, Prof. Dr. Harald",h_weyel,AfD,48
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,3
"Witt, Uwe",Witt_Uwe,AfD,60
"Ziemiak, Paul",PaulZiemiak,CDU,103
"Braun, Jürgen",JuergenBraunAfD,AfD,295
"Jacobi, Fabian",Jacobi_AfD,AfD,3
"König, Jörn",JoernKoenigAfD,AfD,0
"Magnitz, Frank",Frank_Magnitz,AfD,0
"Springer, René",Rene_Springer,AfD,9
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,23
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,6
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,34
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,3
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,61
"Biadacz, Marc",MBiadaczMdB,CDU,39
"Knoerig, Axel",axel_knoerig,CDU,2
"Mast, Katja",KatjaMast,SPD,139
"Müntefering, Michelle",Mi_Muentefering,SPD,61
"Silberhorn, Thomas",SilberhornMdB,CSU,22
"Schreiber, Eva-Maria",MdB_Schreiber,Die Linke,91
"Straetmanns, Friedrich",FrStraetmanns,Die Linke,109
"Busen, Karlheinz",busen_mdb,FDP,4
"Djir-Sarai, Bijan",DjirSarai,FDP,28
"in der Beek, Olaf",olafinderbeek,FDP,57
"Willkomm, Katharina",k_willkomm,FDP,32
"Mansmann, Till",TillMansmann,FDP,5
"Müller, Alexander",alexmuellerfdp,FDP,31
"Reinhold, Hagen",reinholdmdb,FDP,120
"Skudelny, Judith",JudithSkudelny,FDP,38
"Dilcher, Esther",EstherDilcher,SPD,0
"Aggelidis, Grigorios",aggelidis_fdp,FDP,57
"Hollnagel, Dr. Bruno",DrHollnagel,AfD,22
"Wiehle, Wolfgang",WolfgangWiehle,AfD,146
"Heilmann, Prof. Thomas",ThomasHeilmann,CDU,7
"Hocker, Dr. Gero",GeroHocker,FDP,35
"Müller, Hansjörg Gerhard Georg",MdB_Mueller_AfD,AfD,40
"Müller-Rosentritt, Frank",theliberalfrank,FDP,39
"Neumann, Prof. Dr. Martin",_MartinNeumann,FDP,75
"Rottmann, Dr. Manuela",ManuelaRottman,Bündnis 90/Die Grünen,80
"Alt, Renata",RenataAlt_MdB,FDP,87
"Dassler, Britta",BrittaDassler,FDP,12
"Klein, Karsten",MdBKlein,FDP,76
"Westig, Nicole",NicoleWestig,FDP,32
