name,screen_name,party,total_tweets,covid_tweets
"Altmaier, Peter",peteraltmaier,CDU,254,23
"Annen, Niels",NielsAnnen,SPD,767,131
"Baerbock, Annalena",ABaerbock,Bündnis 90/Die Grünen,296,44
"Bahr, Ulrike",MdB_Ulrike_Bahr,SPD,0,0
"Bär, Dorothee",DoroBaer,CSU,1026,11
"Bareiß, Thomas",Thomas_Bareiss,CDU,784,97
"Bartke, Dr. Matthias",matthiasbartke,SPD,52,4
"Bartol, Sören",soerenbartol,SPD,228,7
"Bartsch, Dr. Dietmar",DietmarBartsch,Die Linke,828,118
"Bas, Bärbel",baerbelbas,SPD,593,108
"Beermann, Maik",MaikBeermann,CDU,100,18
"Behrens, Manfred",Manfredbehrens,CDU,0,0
"Benning, Sybille",SybilleBenning,CDU,0,0
"Bilger, Steffen",SteffenBilger,CDU,166,17
"Binding, Lothar",Lothar_Binding,SPD,92,3
"Birkwald, Matthias W.",MWBirkwald,Die Linke,96,2
"Brantner, Dr. Franziska",fbrantner,Bündnis 90/Die Grünen,841,104
"Braun, Dr. Helge",HBraun,CDU,78,25
"Brehmer, Heike",HeikeBrehmerMdB,CDU,43,10
"Brinkhaus, Ralph",rbrinkhaus,CDU,140,30
"Brugger, Agnieszka",agnieszka_mdb,Bündnis 90/Die Grünen,378,50
"Brunner, Dr. Karl-Heinz",BrunnerGanzOhr,SPD,150,15
"Buchholz, Christine",ch_buchholz,Die Linke,238,24
"Bülow, Marco",marcobuelow,Fraktionslos,1655,151
"Castellucci, Prof. Dr. Lars",larscastellucci,SPD,383,30
"Dagdelen, Sevim",SevimDagdelen,Die Linke,370,39
"De Ridder, Dr. Daniela",DeRidder_MdB,SPD,0,0
"Dehm, Dr. Diether",Diether_Dehm,Die Linke,226,52
"Deligöz, Ekin",ekindeligoez,Bündnis 90/Die Grünen,600,67
"Diaby, Dr. Karamba",KarambaDiaby,SPD,116,17
"Dittmar, Sabine",dittmarsabine,SPD,28,10
"Dörner, Katja",katjadoerner,Bündnis 90/Die Grünen,807,98
"Dröge, Katharina",katdro,Bündnis 90/Die Grünen,387,68
"Durz, Hansjörg",Hansjoerg_Durz,CSU,8,4
"Ebner, Harald",ebner_sha,Bündnis 90/Die Grünen,170,7
"Ernst, Klaus",ernst_klaus,Die Linke,115,31
"Esken, Saskia",EskenSaskia,SPD,3651,337
"Feiler, Uwe",UweFe,CDU,0,0
"Felgentreu, Dr. Fritz",fritzfelgentreu,SPD,2519,71
"Fischer, Axel",Axel_Fischer,CDU,91,12
"Franke, Dr. Edgar",FrankeEdgar,SPD,25,4
"Freese, Ulrich",UliFreese,SPD,28,3
"Frieser, Michael",MichaelFrieser,CSU,19,6
"Fuchtel, Hans-Joachim",fuchtel,CDU,0,0
"Gastel, Matthias",MatthiasGastel,Bündnis 90/Die Grünen,445,43
"Gebhart, Dr. Thomas",thomasgebhart,CDU,76,25
"Gehring, Kai",KaiGehring,Bündnis 90/Die Grünen,1392,366
"Gerdes, Michael",GerdesMdB,SPD,0,0
"Gohlke, Nicole",NicoleGohlke,Die Linke,752,256
"Göring-Eckardt, Katrin",GoeringEckardt,Bündnis 90/Die Grünen,794,106
"Glöckner, Angelika",A_Gloeckner,SPD,133,20
"Griese, Kerstin",KerstinGriese,SPD,554,51
"Gröhe, Hermann",groehe,CDU,456,59
"Groß, Michael ",michaelgrossmdb,SPD,0,0
"Grosse-Brömer, Michael",MGrosseBroemer,CDU,787,24
"Grötsch, Uli",UliGroetsch,SPD,327,39
"Grübel, Markus",GruebelMdb,CDU,41,3
"Güntzler, Fritz",FGuentzler,CDU,2,0
"Gutting, Olav",olavgutting,CDU,220,30
"Gysi, Dr. Gregor",GregorGysi,Die Linke,91,14
"Hahn, Florian",hahnflo,CSU,642,89
"Hajduk, Anja",HajdukBundestag,Bündnis 90/Die Grünen,23,5
"Hakverdi, Metin",MetinHakverdi,SPD,416,20
"Hänsel, Heike",HeikeHaensel,Die Linke,294,46
"Hardt, Jürgen",juergenhardt,CDU,269,27
"Hartmann, Sebastian",sebast_hartmann,SPD,265,47
"Haßelmann, Britta",BriHasselmann,Bündnis 90/Die Grünen,984,147
"Hauer, Matthias",MatthiasHauer,CDU,5176,237
"Hauptmann, Mark",MarkHauptmann,CDU,155,19
"Heider, Dr. Matthias",MatthiasHeider,CDU,0,0
"Heil, Hubertus",hubertus_heil,SPD,269,29
"Heil, Mechthild",MechthildHeil,CDU,25,7
"Heinrich, Frank",FrankHeinrich,CDU,9,0
"Heinrich, Gabriela",GaHeinrich,SPD,1,0
"Held, Marcus",MarcusHeld_SPD,SPD,0,0
"Hellmich, Wolfgang",HellmichMdB,SPD,83,3
"Herzog, Gustav",GustavHerzogMdB,SPD,0,0
"Hirte, Christian",ChristianHirte,CDU,300,37
"Hirte, Prof. Dr. Heribert",HHirte,CDU,1295,90
"Hitschler, Thomas",ThomasHitschler,SPD,1015,24
"Hofreiter, Dr. Anton",ToniHofreiter,Bündnis 90/Die Grünen,0,0
"Hunko, Andrej",AndrejHunko,Die Linke,883,108
"Janecek, Dieter",DJanecek,Bündnis 90/Die Grünen,2271,526
"Jarzombek, Thomas",tj_tweets,CDU,421,25
"Jelpke, Ulla",UllaJelpke,Die Linke,246,62
"Jurk, Thomas",thomas_jurk,SPD,0,0
"Kaczmarek, Oliver",KaczmarekOliver,SPD,150,22
"Karliczek, Anja",AnjaKarliczek,CDU,3,0
"Kaufmann, Dr. Stefan",StefanKaufmann,CDU,634,99
"Kekeritz, Uwe",UweKekeritz,Bündnis 90/Die Grünen,229,29
"Kemmer, Ronja",RonjaKemmer,CDU,21,1
"Kiesewetter, Roderich",RKiesewetter,CDU,627,49
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1651,175
"Kipping, Katja",katjakipping,Die Linke,917,206
"Kiziltepe, Cansel",CanselK,SPD,635,55
"Klare, Arno",arnoklare,SPD,48,17
"Klein, Volkmar",VolkmarKlein,CDU,3,1
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1498,437
"Klingbeil, Lars",larsklingbeil,SPD,658,37
"Koeppen, Jens",JensKoeppen,CDU,54,7
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,275,24
"Kolbe, Daniela",danielakolbe,SPD,734,52
