tweet_id,tweet_content,annotation_sentiment,annotation_emotion,annotation_qualifier
1261283547698036736,Großartige Ansage im #ICE an all die Anhänger*innen von #Verschwoerungstheorien in Zeiten des #coronavirus 👇🏽👍🏼 Genau zuhören👂🏻#Bahn #DeutscheBahn https://t.co/CRqnLbxZBh,positive,joy,humour or sarcasm
1326574669101735943,"""Mein Lehrer wollte, dass ich auf die Hauptschule gehe. Erst durch das Einschreiten meines deutschen Nachbarn konnte ich aufs Gymnasium.""   Prof. Dr. Uğur #Şahin Entwickler des #Covid19 Impfstoffes.  Ja, vielleicht reden wir mal über Diskriminierungen  durch unser Bildungssystem.",negative,anger,frustration
1328977944275013639,"Üblicherweise darf jeder Abgeordnete 6 Gäste mit in den #Bundestag nehmen. Diese Regel ist für heute ausgesetzt, aus Sorge, MdB könnten die irren Demonstranten mit reinnehmen.  So ist das, wenn man den verlängerten Arm der Coronaleugner und Nazis im #Parlament sitzen hat.  #b1811",negative,disgust,frustration
1238376479291052035,"Vor kurzem noch forderte die #Bertelsmannstiftung, 50 % der deutschen Krankenhäuser dicht zu machen.  Man stelle sich vor, dieser Plan wäre Realität geworden.  Können wir uns darauf einigen, zum Schutz der Menschheit nie mehr auf Neoliberale zu hören?  #COVID19 #coronavirus",negative,fear,concern
1252975112913145856,"Nach meinem Tweet zu überteuerten Masken hat #Trigema eine Kalkulation geschickt. Diese war überzeugend. Trigema produziert vergleichsweise #sozial. Das finde ich richtig, daher Tweet gelöscht. Die Kritik an der #BuReg aber bleibt: Bei #Maskenpflicht braucht es bezahlbare Masken!",neutral,anticipation,concern
1328975343248699392,Ich stimme heute gegen das #Infektionsschutzgesetz der Bundesregierung. Der Bundestag darf das Heft des Handelns nicht auf die Bundesregierung übertragen.,negative,anger,concern
1258474494328549376,"Atombomber sind nicht systemrelevant. 18,5 Mrd. € für 138 neue Kampfflugzeuge fehlen für Investitionen und bessere Bezahlung in Gesundheit und Pflege, Bildung und Erziehung, Handel und Logistik und die Bewältigung der Coronakrise. Katastrophale Entscheidung stoppen! https://t.co/iURFBMkMkn",negative,anger,frustration
1337688678488006656,"Die Corona-Krise hat noch einmal deutlich gemacht, dass das Gesundheitssystem nicht den Profitinteressen von Krankenhauskonzernen und Pharmalobby unterworfen werden darf. Krankenhäuser müssen sich nicht rechnen, sondern die Menschen mit der bestmöglichen Versorgung gesund machen.",negative,disgust,frustration
1241792023188983809,"Wenn drei FreundInnen unter freiem Himmel zusammentreffen, ist es verboten. Wenn die selben drei allerdings in der Werkshalle für Rheinmetall Waffen bauen oder für Amazon Pakete füllen, ist es kein Problem.   Fazit: Kapitalismus schützt vor Viren! #Kontaktverbot",negative,disgust,humour or sarcasm
1244642534237908992,"AfD gratuliert #Orban zum ""Sieg für ganz Europa"". #Ungarn heute: Ausgangsperre, drakonische Strafen, Parlament aufgelöst, keine Wahlen, Medienmaulkorb, Diktatur per Dekret. Mit unseren Antidemokraten wärs in #Coronadeutschland mit Freiheit schnell vorbei. Wehret den Anfängen! https://t.co/7pCM5mFn2L",negative,fear,concern
1251907436916674560,"Guter Vorstoß aus Dänemark: Wer Firmensitz in Steueroase unterhält oder Dividenden auszahlt, hat keine Ansprüche auf #Corona-Staatshilfen. Wäre zu schön, wenn Bundesregierung auch mal auf solche Ideen kommt.",negative,sadness,frustration
