name,screen_name,party,total_tweets,covid_tweets,ratio
"Altmaier, Peter",peteraltmaier,CDU,254,20,7.87
"Annen, Niels",NielsAnnen,SPD,761,55,7.23
"Baerbock, Annalena",ABaerbock,Bündnis 90/Die Grünen,296,37,12.5
"Bahr, Ulrike",MdB_Ulrike_Bahr,SPD,0,0,0
"Bär, Dorothee",DoroBaer,CSU,1027,10,0.97
"Bareiß, Thomas",Thomas_Bareiss,CDU,775,80,10.32
"Bartke, Dr. Matthias",matthiasbartke,SPD,51,4,7.84
"Bartol, Sören",soerenbartol,SPD,228,7,3.07
"Bartsch, Dr. Dietmar",DietmarBartsch,Die Linke,826,98,11.86
"Bas, Bärbel",baerbelbas,SPD,590,91,15.42
"Beermann, Maik",MaikBeermann,CDU,101,18,17.82
"Behrens, Manfred",Manfredbehrens,CDU,0,0,0
"Benning, Sybille",SybilleBenning,CDU,0,0,0
"Bilger, Steffen",SteffenBilger,CDU,161,13,8.07
"Binding, Lothar",Lothar_Binding,SPD,92,4,4.35
"Birkwald, Matthias W.",MWBirkwald,Die Linke,96,2,2.08
"Brantner, Dr. Franziska",fbrantner,Bündnis 90/Die Grünen,840,95,11.31
"Braun, Dr. Helge",HBraun,CDU,78,18,23.08
"Brehmer, Heike",HeikeBrehmerMdB,CDU,43,6,13.95
"Brinkhaus, Ralph",rbrinkhaus,CDU,140,27,19.29
"Brugger, Agnieszka",agnieszka_mdb,Bündnis 90/Die Grünen,378,46,12.17
"Brunner, Dr. Karl-Heinz",BrunnerGanzOhr,SPD,149,10,6.71
"Buchholz, Christine",ch_buchholz,Die Linke,238,21,8.82
"Bülow, Marco",marcobuelow,Fraktionslos,1651,145,8.78
"Castellucci, Prof. Dr. Lars",larscastellucci,SPD,383,26,6.79
"Dagdelen, Sevim",SevimDagdelen,Die Linke,369,36,9.76
"De Ridder, Dr. Daniela",DeRidder_MdB,SPD,0,0,0
"Dehm, Dr. Diether",Diether_Dehm,Die Linke,226,43,19.03
"Deligöz, Ekin",ekindeligoez,Bündnis 90/Die Grünen,599,66,11.02
"Diaby, Dr. Karamba",KarambaDiaby,SPD,115,15,13.04
"Dittmar, Sabine",dittmarsabine,SPD,27,8,29.63
"Dörner, Katja",katjadoerner,Bündnis 90/Die Grünen,804,78,9.7
"Dröge, Katharina",katdro,Bündnis 90/Die Grünen,385,64,16.62
"Durz, Hansjörg",Hansjoerg_Durz,CSU,8,4,50.0
"Ebner, Harald",ebner_sha,Bündnis 90/Die Grünen,168,7,4.17
"Ernst, Klaus",ernst_klaus,Die Linke,115,32,27.83
"Esken, Saskia",EskenSaskia,SPD,3639,326,8.96
"Feiler, Uwe",UweFe,CDU,0,0,0
"Felgentreu, Dr. Fritz",fritzfelgentreu,SPD,2526,66,2.61
"Fischer, Axel",Axel_Fischer,CDU,91,12,13.19
"Franke, Dr. Edgar",FrankeEdgar,SPD,25,2,8.0
"Freese, Ulrich",UliFreese,SPD,28,3,10.71
"Frieser, Michael",MichaelFrieser,CSU,19,5,26.32
"Fuchtel, Hans-Joachim",fuchtel,CDU,0,0,0
"Gastel, Matthias",MatthiasGastel,Bündnis 90/Die Grünen,418,42,10.05
"Gebhart, Dr. Thomas",thomasgebhart,CDU,76,19,25.0
"Gehring, Kai",KaiGehring,Bündnis 90/Die Grünen,1382,283,20.48
"Gerdes, Michael",GerdesMdB,SPD,0,0,0
"Gohlke, Nicole",NicoleGohlke,Die Linke,751,215,28.63
"Göring-Eckardt, Katrin",GoeringEckardt,Bündnis 90/Die Grünen,792,93,11.74
"Glöckner, Angelika",A_Gloeckner,SPD,133,20,15.04
"Griese, Kerstin",KerstinGriese,SPD,542,50,9.23
"Gröhe, Hermann",groehe,CDU,453,39,8.61
"Groß, Michael ",michaelgrossmdb,SPD,0,0,0
"Grosse-Brömer, Michael",MGrosseBroemer,CDU,784,21,2.68
"Grötsch, Uli",UliGroetsch,SPD,326,33,10.12
"Grübel, Markus",GruebelMdb,CDU,41,2,4.88
"Güntzler, Fritz",FGuentzler,CDU,2,0,0
"Gutting, Olav",olavgutting,CDU,220,25,11.36
"Gysi, Dr. Gregor",GregorGysi,Die Linke,90,15,16.67
"Hahn, Florian",hahnflo,CSU,636,69,10.85
"Hajduk, Anja",HajdukBundestag,Bündnis 90/Die Grünen,23,2,8.7
"Hakverdi, Metin",MetinHakverdi,SPD,417,16,3.84
"Hänsel, Heike",HeikeHaensel,Die Linke,293,39,13.31
"Hardt, Jürgen",juergenhardt,CDU,268,17,6.34
"Hartmann, Sebastian",sebast_hartmann,SPD,266,45,16.92
"Haßelmann, Britta",BriHasselmann,Bündnis 90/Die Grünen,980,102,10.41
"Hauer, Matthias",MatthiasHauer,CDU,5081,221,4.35
"Hauptmann, Mark",MarkHauptmann,CDU,156,9,5.77
"Heider, Dr. Matthias",MatthiasHeider,CDU,0,0,0
"Heil, Hubertus",hubertus_heil,SPD,265,41,15.47
"Heil, Mechthild",MechthildHeil,CDU,25,7,28.0
"Heinrich, Frank",FrankHeinrich,CDU,9,0,0
"Heinrich, Gabriela",GaHeinrich,SPD,1,0,0
"Held, Marcus",MarcusHeld_SPD,SPD,0,0,0
"Hellmich, Wolfgang",HellmichMdB,SPD,82,2,2.44
"Herzog, Gustav",GustavHerzogMdB,SPD,0,0,0
"Hirte, Christian",ChristianHirte,CDU,300,30,10.0
"Hirte, Prof. Dr. Heribert",HHirte,CDU,1274,80,6.28
"Hitschler, Thomas",ThomasHitschler,SPD,1014,14,1.38
"Hofreiter, Dr. Anton",ToniHofreiter,Bündnis 90/Die Grünen,0,0,0
"Hunko, Andrej",AndrejHunko,Die Linke,883,73,8.27
"Janecek, Dieter",DJanecek,Bündnis 90/Die Grünen,2262,448,19.81
"Jarzombek, Thomas",tj_tweets,CDU,421,27,6.41
"Jelpke, Ulla",UllaJelpke,Die Linke,246,49,19.92
"Jurk, Thomas",thomas_jurk,SPD,0,0,0
"Kaczmarek, Oliver",KaczmarekOliver,SPD,149,20,13.42
"Karliczek, Anja",AnjaKarliczek,CDU,3,0,0
"Kaufmann, Dr. Stefan",StefanKaufmann,CDU,633,91,14.38
"Kekeritz, Uwe",UweKekeritz,Bündnis 90/Die Grünen,229,19,8.3
"Kemmer, Ronja",RonjaKemmer,CDU,21,1,4.76
"Kiesewetter, Roderich",RKiesewetter,CDU,615,39,6.34
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1652,144,8.72
"Kipping, Katja",katjakipping,Die Linke,915,179,19.56
"Kiziltepe, Cansel",CanselK,SPD,633,49,7.74
"Klare, Arno",arnoklare,SPD,48,14,29.17
"Klein, Volkmar",VolkmarKlein,CDU,3,1,33.33
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1484,396,26.68
"Klingbeil, Lars",larsklingbeil,SPD,660,35,5.3
"Koeppen, Jens",JensKoeppen,CDU,54,5,9.26
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,272,10,3.68
"Kolbe, Daniela",danielakolbe,SPD,734,56,7.63
"Koob, Markus",KoobMar,CDU,0,0,0
"Korte, Jan",jankortemdb,Die Linke,411,61,14.84
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,25,2,8.0
