name,screen_name,party,total_tweets_found,tweets_by_politician,ratio
"Altmaier, Peter",peteraltmaier,CDU,299,254,84.95
"Annen, Niels",NielsAnnen,SPD,1011,761,75.27
"Baerbock, Annalena",ABaerbock,Bündnis 90/Die Grünen,355,296,83.38
"Bahr, Ulrike",MdB_Ulrike_Bahr,SPD,0,0,0
"Bär, Dorothee",DoroBaer,CSU,1187,1027,86.52
"Bareiß, Thomas",Thomas_Bareiss,CDU,936,775,82.8
"Bartke, Dr. Matthias",matthiasbartke,SPD,54,51,94.44
"Bartol, Sören",soerenbartol,SPD,281,228,81.14
"Bartsch, Dr. Dietmar",DietmarBartsch,Die Linke,1038,826,79.58
"Bas, Bärbel",baerbelbas,SPD,739,590,79.84
"Beermann, Maik",MaikBeermann,CDU,147,101,68.71
"Behrens, Manfred",Manfredbehrens,CDU,0,0,0
"Benning, Sybille",SybilleBenning,CDU,0,0,0
"Bilger, Steffen",SteffenBilger,CDU,211,161,76.3
"Binding, Lothar",Lothar_Binding,SPD,96,92,95.83
"Birkwald, Matthias W.",MWBirkwald,Die Linke,106,96,90.57
"Brantner, Dr. Franziska",fbrantner,Bündnis 90/Die Grünen,985,840,85.28
"Braun, Dr. Helge",HBraun,CDU,86,78,90.7
"Brehmer, Heike",HeikeBrehmerMdB,CDU,46,43,93.48
"Brinkhaus, Ralph",rbrinkhaus,CDU,141,140,99.29
"Brugger, Agnieszka",agnieszka_mdb,Bündnis 90/Die Grünen,438,378,86.3
"Brunner, Dr. Karl-Heinz",BrunnerGanzOhr,SPD,174,149,85.63
"Buchholz, Christine",ch_buchholz,Die Linke,254,238,93.7
"Bülow, Marco",marcobuelow,Fraktionslos,1828,1651,90.32
"Castellucci, Prof. Dr. Lars",larscastellucci,SPD,424,383,90.33
"Dagdelen, Sevim",SevimDagdelen,Die Linke,416,369,88.7
"De Ridder, Dr. Daniela",DeRidder_MdB,SPD,0,0,0
"Dehm, Dr. Diether",Diether_Dehm,Die Linke,240,226,94.17
"Deligöz, Ekin",ekindeligoez,Bündnis 90/Die Grünen,747,599,80.19
"Diaby, Dr. Karamba",KarambaDiaby,SPD,121,115,95.04
"Dittmar, Sabine",dittmarsabine,SPD,31,27,87.1
"Dörner, Katja",katjadoerner,Bündnis 90/Die Grünen,993,804,80.97
"Dröge, Katharina",katdro,Bündnis 90/Die Grünen,470,385,81.91
"Durz, Hansjörg",Hansjoerg_Durz,CSU,9,8,88.89
"Ebner, Harald",ebner_sha,Bündnis 90/Die Grünen,201,168,83.58
"Ernst, Klaus",ernst_klaus,Die Linke,140,115,82.14
"Esken, Saskia",EskenSaskia,SPD,3813,3639,95.44
"Feiler, Uwe",UweFe,CDU,0,0,0
"Felgentreu, Dr. Fritz",fritzfelgentreu,SPD,3004,2526,84.09
"Fischer, Axel",Axel_Fischer,CDU,91,91,100.0
"Franke, Dr. Edgar",FrankeEdgar,SPD,26,25,96.15
"Freese, Ulrich",UliFreese,SPD,30,28,93.33
"Frieser, Michael",MichaelFrieser,CSU,20,19,95.0
"Fuchtel, Hans-Joachim",fuchtel,CDU,0,0,0
"Gastel, Matthias",MatthiasGastel,Bündnis 90/Die Grünen,450,418,92.89
"Gebhart, Dr. Thomas",thomasgebhart,CDU,81,76,93.83
"Gehring, Kai",KaiGehring,Bündnis 90/Die Grünen,1632,1382,84.68
"Gerdes, Michael",GerdesMdB,SPD,0,0,0
"Gohlke, Nicole",NicoleGohlke,Die Linke,785,751,95.67
"Göring-Eckardt, Katrin",GoeringEckardt,Bündnis 90/Die Grünen,939,792,84.35
"Glöckner, Angelika",A_Gloeckner,SPD,203,133,65.52
"Griese, Kerstin",KerstinGriese,SPD,664,542,81.63
"Gröhe, Hermann",groehe,CDU,574,453,78.92
"Groß, Michael ",michaelgrossmdb,SPD,0,0,0
"Grosse-Brömer, Michael",MGrosseBroemer,CDU,907,784,86.44
"Grötsch, Uli",UliGroetsch,SPD,327,326,99.69
"Grübel, Markus",GruebelMdb,CDU,44,41,93.18
"Güntzler, Fritz",FGuentzler,CDU,2,2,100.0
"Gutting, Olav",olavgutting,CDU,226,220,97.35
"Gysi, Dr. Gregor",GregorGysi,Die Linke,100,90,90.0
"Hahn, Florian",hahnflo,CSU,920,636,69.13
"Hajduk, Anja",HajdukBundestag,Bündnis 90/Die Grünen,38,23,60.53
"Hakverdi, Metin",MetinHakverdi,SPD,507,417,82.25
"Hänsel, Heike",HeikeHaensel,Die Linke,351,293,83.48
"Hardt, Jürgen",juergenhardt,CDU,324,268,82.72
"Hartmann, Sebastian",sebast_hartmann,SPD,345,266,77.1
"Haßelmann, Britta",BriHasselmann,Bündnis 90/Die Grünen,1167,980,83.98
"Hauer, Matthias",MatthiasHauer,CDU,5633,5081,90.2
"Hauptmann, Mark",MarkHauptmann,CDU,265,156,58.87
"Heider, Dr. Matthias",MatthiasHeider,CDU,0,0,0
"Heil, Hubertus",hubertus_heil,SPD,267,265,99.25
"Heil, Mechthild",MechthildHeil,CDU,29,25,86.21
"Heinrich, Frank",FrankHeinrich,CDU,9,9,100.0
"Heinrich, Gabriela",GaHeinrich,SPD,1,1,100.0
"Held, Marcus",MarcusHeld_SPD,SPD,0,0,0
"Hellmich, Wolfgang",HellmichMdB,SPD,129,82,63.57
"Herzog, Gustav",GustavHerzogMdB,SPD,0,0,0
"Hirte, Christian",ChristianHirte,CDU,474,300,63.29
"Hirte, Prof. Dr. Heribert",HHirte,CDU,1572,1274,81.04
"Hitschler, Thomas",ThomasHitschler,SPD,1115,1014,90.94
"Hofreiter, Dr. Anton",ToniHofreiter,Bündnis 90/Die Grünen,0,0,0
"Hunko, Andrej",AndrejHunko,Die Linke,976,883,90.47
"Janecek, Dieter",DJanecek,Bündnis 90/Die Grünen,2597,2262,87.1
"Jarzombek, Thomas",tj_tweets,CDU,449,421,93.76
"Jelpke, Ulla",UllaJelpke,Die Linke,269,246,91.45
"Jurk, Thomas",thomas_jurk,SPD,0,0,0
"Kaczmarek, Oliver",KaczmarekOliver,SPD,197,149,75.63
"Karliczek, Anja",AnjaKarliczek,CDU,5,3,60.0
"Kaufmann, Dr. Stefan",StefanKaufmann,CDU,686,633,92.27
"Kekeritz, Uwe",UweKekeritz,Bündnis 90/Die Grünen,282,229,81.21
"Kemmer, Ronja",RonjaKemmer,CDU,29,21,72.41
"Kiesewetter, Roderich",RKiesewetter,CDU,645,615,95.35
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1860,1652,88.82
"Kipping, Katja",katjakipping,Die Linke,1071,915,85.43
"Kiziltepe, Cansel",CanselK,SPD,836,633,75.72
"Klare, Arno",arnoklare,SPD,49,48,97.96
"Klein, Volkmar",VolkmarKlein,CDU,4,3,75.0
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1914,1484,77.53
"Klingbeil, Lars",larsklingbeil,SPD,826,660,79.9
"Koeppen, Jens",JensKoeppen,CDU,58,54,93.1
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,284,272,95.77
"Kolbe, Daniela",danielakolbe,SPD,766,734,95.82
"Koob, Markus",KoobMar,CDU,0,0,0
"Korte, Jan",jankortemdb,Die Linke,479,411,85.8
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,27,25,92.59
"Kramme, Anette",AnetteKramme,SPD,1,1,100.0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,77,55,71.43
"Krings, Dr. Günter",guenterkrings,CDU,0,0,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,351,297,84.62
"Kruse, Rüdiger",RuedigerKruse,CDU,59,58,98.31
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,424,328,77.36
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,402,342,85.07
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,68,65,95.59
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,5976,4796,80.25
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,92,82,89.13
"Lange, Christian",LangeMdB,SPD,286,261,91.26
"Lange, Ulrich",UlrichLange,CSU,0,0,0
"Launert, Dr. Silke",DrLaunert,CSU,0,0,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,3359,2696,80.26
"Lay, Caren",CarenLay,Die Linke,811,701,86.44
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,375,332,88.53
"Leidig, Sabine",SabineLeidig,Die Linke,337,301,89.32
"Leikert, Dr. Katja",KLeikert,CDU,749,619,82.64
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,291,249,85.57
"Lenz, Dr. Andreas",DerLenzMdB,CSU,782,664,84.91
"Leutert, Michael",MichaelLeutert,Die Linke,11,10,90.91
"Liebich, Stefan",berlinliebich,Die Linke,2347,2153,91.73
"Lindholz, Andrea",AndreaLindholz,CSU,0,0,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,298,253,84.9
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,394,318,80.71
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,1030,882,85.63
"Lutze, Thomas",thlutze,Die Linke,0,0,0
"Magwas, Yvonne",YvonneMagwas,CDU,8,6,75.0
"Manderla, Gisela",ManderlaGisela,CDU,144,132,91.67
"Mattfeldt, Andreas",AMattfeldt,CDU,0,0,0
"Mattheis, Hilde",HildeMattheis,SPD,416,386,92.79
"Meister, Dr. Michael",meister_schafft,CDU,368,241,65.49
"Metzler, Jan",JanMetzler,CDU,0,0,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,9,9,100.0
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,410,372,90.73
"Mindrup, Klaus",KlausMindrup,SPD,298,270,90.6
"Möhring, Cornelia",Conni_Moehring,Die Linke,654,527,80.58
"Möring, Karsten",KarstenMoering,CDU,11,9,81.82
"Movassat, Niema",NiemaMovassat,Die Linke,5085,4678,92.0
"Müller, Bettina",BetMueller,SPD,180,179,99.44
"Müller, Carsten",CarstenMuellers,CDU,0,0,0
"Müller, Stefan",smuellermdb,CSU,307,258,84.04
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,204,164,80.39
"Müller, Norbert",Norbert_MdB,Die Linke,198,173,87.37
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,367,318,86.65
"Nick, Dr. Andreas",DrAndreasNick,CDU,521,440,84.45
"Nissen, Ulli",UlliNissen,SPD,1321,1081,81.83
"Nord, Thomas",NordMdb,Die Linke,370,349,94.32
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,1026,822,80.12
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,733,552,75.31
"Oellers, Wilfried",WilfriedOellers,CDU,0,0,0
"Oppermann, Thomas",ThomasOppermann,SPD,140,124,88.57
"Oßner, Florian",Florian_Ossner,CSU,7,7,100.0
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,1093,945,86.46
"Özdemir, Mahmut",oezdemir_spd,SPD,94,80,85.11
"Özoguz, Aydan",oezoguz,SPD,1189,1042,87.64
"Pantel, Sylvia",SylviaPantel,CDU,38,38,100.0
"Paschke, Markus",MarkusPaschke,SPD,41,41,100.0
"Pau, Petra",PetraPauMaHe,Die Linke,670,528,78.81
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,850,788,92.71
"Petry, Christian",CPetryMdB,SPD,61,60,98.36
"Post, Achim",Achim_P,SPD,513,506,98.64
"Post, Florian",FlorianPost,SPD,244,232,95.08
"Pronold, Florian",FlorianPronold,SPD,68,54,79.41
"Rabanus, Martin",MartinRabanus,SPD,0,0,0
"Radwan, Alexander",AlexanderRadwan,CSU,0,0,0
"Rawert, Mechthild",MechthildRawert,SPD,78,78,100.0
"Renner, Martina",MartinaRenner,Die Linke,1618,1306,80.72
"Rimkus, Andreas",Andreas_Rimkus,SPD,707,611,86.42
"Rix, Sönke",SoenkeRix,SPD,544,478,87.87
"Rohde, Dennis",DennisRohde,SPD,283,260,91.87
"Rosemann, Dr. Martin",MartinRosemann,SPD,419,338,80.67
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,103,97,94.17
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,624,535,85.74
"Roth, Michael",MiRo_SPD,SPD,2028,1756,86.59
"Rüddel, Erwin",Erwin_Rueddel,CDU,726,715,98.48
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,65,56,86.15
"Rüthrich, Susann",SusannRuethrich,SPD,0,0,0
"Saathoff, Johann",Johann_Saathoff,SPD,122,112,91.8
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,200,165,82.5
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,550,449,81.64
"Scheuer, Andreas",AndiScheuer,CSU,105,78,74.29
"Schiefner, Udo",UdoSchiefner,SPD,3,3,100.0
"Schimke, Jana",JanaSchimke,CDU,143,116,81.12
"Schipanski, Tankred",TSchipanski,CDU,443,323,72.91
"Schmidt, Dagmar",dieschmidt,SPD,40,30,75.0
"Schneider , Carsten",schneidercar,SPD,409,321,78.48
"Schnieder, Patrick",PSchnieder,CDU,128,86,67.19
"Schön, Nadine",NadineSchoen,CDU,210,153,72.86
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,1770,1366,77.18
"Schummer, Uwe",UweSchummer,CDU,1352,1330,98.37
"Schuster, Armin",armin_schuster,CDU,110,100,90.91
"Schwabe, Frank",FrankSchwabe,SPD,685,680,99.27
"Schwartze, Stefan",s_schwartze,SPD,74,55,74.32
"Schwarz, Andreas",Schwarz_MdB,SPD,963,800,83.07
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,419,278,66.35
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,49,100.0
"Siebert, Bernd",BerndSiebert,CDU,10,9,90.0
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,321,293,91.28
"Sorge, Tino",TinoSorge,CDU,305,254,83.28
"Spahn, Jens",jensspahn,CDU,336,314,93.45
"Spiering, Rainer",rainerspiering,SPD,0,0,0
"Stadler, Svenja",stadler_svenja,SPD,377,296,78.51
"Stamm-Fibich, Martina",stamm_fibich,SPD,31,28,90.32
