name,created_at,word from wordlist,found word,original tweet,tweet
"Strengmann-Kuhn, Dr. Wolfgang",Thu Mar 12 20:36:05 +0000 2020,coronavirus,coronavirus,"Auch bei den Tafeln sind Auswirkungen durch die Ausbreitung des #Coronavirus spürbar. Wir appellieren an die Bürger*innen und auch an die Supermärkte, nicht benötigte Lebensmittel an die Tafeln zu spenden. Gerade Arme sind jetzt auf Solidarität angewiesen.
https://t.co/FGBpAecPql","['tafeln', 'auswirkungen', 'ausbreitung', 'coronavirus', 'spürbar', 'appellieren', 'bürger', 'innen', 'supermärkte', 'benötigte', 'lebensmittel', 'tafeln', 'spenden', 'gerade', 'arme', 'solidarität', 'angewiesen']"
"Strengmann-Kuhn, Dr. Wolfgang",Sat Mar 14 18:51:57 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Die Maßnahmen zum #Kurzarbeitergeld sind richtig und werden diesmal noch wichtiger als in der Finanzkrise 
Wir müssen aber auch diejenigen im Blick behalten, denen dadurch nicht geholfen wird, insbesondere viele Selbständige  
Meine Rede im #Bundestag 
https://t.co/Acum9mMwgt","['maßnahmen', 'kurzarbeitergeld', 'richtig', 'diesmal', 'wichtiger', 'finanzkrise', 'müssen', 'diejenigen', 'blick', 'behalten', 'denen', 'dadurch', 'geholfen', 'insbesondere', 'viele', 'selbständige', 'rede', 'bundestag']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Mar 15 08:10:57 +0000 2020,coronakrise,coronakrise,"Je länger ich drüber nachdenke, um so besser finde ich die Idee. 
Ein zeitlich befristetes #Grundeinkommen könnte - neben der Kurzarbeit für abhängig Beschäftigte - vor allem Selbständigen und Menschen mit geringen Einkommen in dieser #Coronakrise helfen und Jobcenter entlasten","['je', 'länger', 'drüber', 'nachdenke', 'besser', 'finde', 'idee', 'zeitlich', 'befristetes', 'grundeinkommen', 'neben', 'kurzarbeit', 'abhängig', 'beschäftigte', 'selbständigen', 'menschen', 'geringen', 'einkommen', 'coronakrise', 'helfen', 'jobcenter', 'entlasten']"
"Strengmann-Kuhn, Dr. Wolfgang",Tue Mar 17 21:44:52 +0000 2020,corona,corona,"Mein Kollege @svenlehmann fordert in einem Brief an @hubertus_heil und den Vorsitzenden des Vorstands der @Bundesagentur eine Vereinfachung von #HartzIV in Zeiten von #Corona, u.a.
- keine Sanktionen
- keine Stromsperren
- keine Vermögensprüfung 
https://t.co/s7RB6gTna7","['kollege', 'fordert', 'brief', 'vorsitzenden', 'vorstands', 'vereinfachung', 'hartziv', 'zeiten', 'corona', 'u', 'a', 'sanktionen', 'stromsperren', 'vermögensprüfung']"
"Strengmann-Kuhn, Dr. Wolfgang",Tue Mar 17 21:49:41 +0000 2020,coronakrise,coronakrise,"#Coronakrise: Deutscher Musikrat fordert befristetes Grundeinkommen
https://t.co/eP5fLq1VPZ","['coronakrise', 'deutscher', 'musikrat', 'fordert', 'befristetes', 'grundeinkommen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 18 10:27:39 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"@SchlimbachDGB @boeckler_de @ThorstenSchult6 @WSITarifarchiv Ich habe in meiner Rede im Bundestag letzte Woche die Unternehmen aufgefordert, #Kurzarbeitergeld aufzustocken. Das können aber nicht alle. Deswegen: auch für Kurzarbeitende mit geringen Einkommen würde ein #Coronageld, wie @AnkeHassel und @OdendahlC fordern, helfen.","['rede', 'bundestag', 'letzte', 'woche', 'unternehmen', 'aufgefordert', 'kurzarbeitergeld', 'aufzustocken', 'deswegen', 'kurzarbeitende', 'geringen', 'einkommen', 'coronageld', 'fordern', 'helfen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 25 08:08:53 +0000 2020,ansteckungsgefahr,ansteckungsgefahr,"@RaS_Freiburg @gruen_sozial @WoloTreffen @ChrisKuehn_mdb Genau darum geht's! 
""... wohnungslose Menschen jetzt schnell in leerstehenden Pensionen oder Hotels untergebracht werden können. Um die Ansteckungsgefahr in den häufig engen Unterkünften zu reduzieren, brauchen wohnungslose Menschen einen Anspruch auf Einzelunterbringung.""","['genau', 'darum', 'gehts', 'wohnungslose', 'menschen', 'schnell', 'leerstehenden', 'pensionen', 'hotels', 'untergebracht', 'ansteckungsgefahr', 'häufig', 'engen', 'unterkünften', 'reduzieren', 'brauchen', 'wohnungslose', 'menschen', 'anspruch', 'einzelunterbringung']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 25 17:57:32 +0000 2020,corona,corona,"👍 @StoppokBand 
""Wir dürfen auch in Zeiten von Corona nicht vergessen, dass täglich Menschen aus Kriegsgebieten flüchten und dabei ihr Leben riskieren.""
Morgen gibt der großartige Stefan Stoppok ein Wohnzimmerkonzert zugunsten von @seaeyeorg 
👇","['dürfen', 'zeiten', 'corona', 'vergessen', 'täglich', 'menschen', 'kriegsgebieten', 'flüchten', 'dabei', 'leben', 'riskieren', 'morgen', 'gibt', 'großartige', 'stefan', 'stoppok', 'wohnzimmerkonzert', 'zugunsten']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Mar 29 08:47:23 +0000 2020,coronakrise,coronakrise,"Mein neuer Newsletter
Themen u.a.
👉#Coronakrise: 
#Kurzarbeitergeld, #Coronageld, #Obdachlosigkeit, #Tafeln
👉#Arbeitslosenversicherung zur #Arbeitsversicherung weiterentwickeln
👉sonstige #Arbeitsmarktpolitik 
👉#Grundeinkommen 
https://t.co/mRz6wwb3JI https://t.co/xqGfxlxZ8J","['neuer', 'newsletter', 'themen', 'u', 'a', 'coronakrise', 'kurzarbeitergeld', 'coronageld', 'obdachlosigkeit', 'tafeln', 'arbeitslosenversicherung', 'arbeitsversicherung', 'weiterentwickeln', 'sonstige', 'arbeitsmarktpolitik', 'grundeinkommen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Apr 08 12:02:32 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"#Kurzarbeitergeld nachbessern, um Beschäftigte besser vor #Armut zu schützen
Hier gibt es das Autor*innen-Papier von Katrin @GoeringEckardt @ToniHofreiter, @HajdukBundestag , @GrueneBeate Müller-Gemmeke und mir, in dem der Vorschlag genau beschrieben wird:
https://t.co/vUNnDL87NU","['kurzarbeitergeld', 'nachbessern', 'beschäftigte', 'besser', 'armut', 'schützen', 'gibt', 'autor', 'innenpapier', 'katrin', 'müllergemmeke', 'vorschlag', 'genau', 'beschrieben']"
