name,created_at,word from wordlist,original tweet,tweet
"Strengmann-Kuhn, Dr. Wolfgang",Thu Mar 12 20:36:05 +0000 2020,coronavirus,"Auch bei den Tafeln sind Auswirkungen durch die Ausbreitung des #Coronavirus spürbar. Wir appellieren an die Bürger*innen und auch an die Supermärkte, nicht benötigte Lebensmittel an die Tafeln zu spenden. Gerade Arme sind jetzt auf Solidarität angewiesen.
https://t.co/FGBpAecPql","['tafel', 'auswirkung', 'ausbreitung', 'coronavirus', 'spürbar', 'appellieren', 'bürger', 'innen', 'supermarkt', 'benötigen', 'lebensmittel', 'tafel', 'spenden', 'gerade', 'arme', 'solidarität', 'angewiesen']"
"Strengmann-Kuhn, Dr. Wolfgang",Sat Mar 14 18:51:57 +0000 2020,kurzarbeitergeld,"Die Maßnahmen zum #Kurzarbeitergeld sind richtig und werden diesmal noch wichtiger als in der Finanzkrise 
Wir müssen aber auch diejenigen im Blick behalten, denen dadurch nicht geholfen wird, insbesondere viele Selbständige  
Meine Rede im #Bundestag 
https://t.co/Acum9mMwgt","['maßnahme', 'kurzarbeitergeld', 'richtig', 'diesmal', 'wichtig', 'finanzkrise', 'müssen', 'diejenigen', 'blick', 'behalten', 'denen', 'dadurch', 'helfen', 'insbesondere', 'viele', 'selbständig', 'rede', 'bundestag']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Mar 15 08:10:57 +0000 2020,coronakrise,"Je länger ich drüber nachdenke, um so besser finde ich die Idee. 
Ein zeitlich befristetes #Grundeinkommen könnte - neben der Kurzarbeit für abhängig Beschäftigte - vor allem Selbständigen und Menschen mit geringen Einkommen in dieser #Coronakrise helfen und Jobcenter entlasten","['je', 'lang', 'drüber', 'nachdenken', 'gut', 'finden', 'idee', 'zeitlich', 'befristet', 'grundeinkommen', 'neben', 'kurzarbeit', 'abhängig', 'beschäftigt', 'selbständig', 'mensch', 'gering', 'einkommen', 'coronakrise', 'helfen', 'jobcenter', 'entlasten']"
"Strengmann-Kuhn, Dr. Wolfgang",Tue Mar 17 21:44:52 +0000 2020,corona,"Mein Kollege @svenlehmann fordert in einem Brief an @hubertus_heil und den Vorsitzenden des Vorstands der @Bundesagentur eine Vereinfachung von #HartzIV in Zeiten von #Corona, u.a.
- keine Sanktionen
- keine Stromsperren
- keine Vermögensprüfung 
https://t.co/s7RB6gTna7","['kollege', 'fordern', 'brief', 'vorsitzend', 'vorstand', 'vereinfachung', 'hartziv', 'zeit', 'corona', 'u', 'a', 'sanktion', 'stromsperre', 'vermögensprüfung']"
"Strengmann-Kuhn, Dr. Wolfgang",Tue Mar 17 21:49:41 +0000 2020,coronakrise,"#Coronakrise: Deutscher Musikrat fordert befristetes Grundeinkommen
https://t.co/eP5fLq1VPZ","['coronakrise', 'deutsch', 'musikrat', 'fordern', 'befristet', 'grundeinkommen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 18 10:27:39 +0000 2020,kurzarbeitergeld,"@SchlimbachDGB @boeckler_de @ThorstenSchult6 @WSITarifarchiv Ich habe in meiner Rede im Bundestag letzte Woche die Unternehmen aufgefordert, #Kurzarbeitergeld aufzustocken. Das können aber nicht alle. Deswegen: auch für Kurzarbeitende mit geringen Einkommen würde ein #Coronageld, wie @AnkeHassel und @OdendahlC fordern, helfen.","['rede', 'bundestag', 'letzter', 'woche', 'unternehmen', 'auffordern', 'kurzarbeitergeld', 'aufstocken', 'deswegen', 'kurzarbeitend', 'gering', 'einkommen', 'coronageld', 'fordern', 'helfen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 25 08:08:53 +0000 2020,ansteckungsgefahr,"@RaS_Freiburg @gruen_sozial @WoloTreffen @ChrisKuehn_mdb Genau darum geht's! 
""... wohnungslose Menschen jetzt schnell in leerstehenden Pensionen oder Hotels untergebracht werden können. Um die Ansteckungsgefahr in den häufig engen Unterkünften zu reduzieren, brauchen wohnungslose Menschen einen Anspruch auf Einzelunterbringung.""","['genau', 'darum', 'gehen', 'wohnungslose', 'mensch', 'schnell', 'leerstehend', 'pension', 'hotel', 'unterbringen', 'ansteckungsgefahr', 'häufig', 'eng', 'unterkunft', 'reduzieren', 'brauchen', 'wohnungslose', 'mensch', 'anspruch', 'einzelunterbringung']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Mar 25 17:57:32 +0000 2020,corona,"👍 @StoppokBand 
""Wir dürfen auch in Zeiten von Corona nicht vergessen, dass täglich Menschen aus Kriegsgebieten flüchten und dabei ihr Leben riskieren.""
Morgen gibt der großartige Stefan Stoppok ein Wohnzimmerkonzert zugunsten von @seaeyeorg 
👇","['dürfen', 'zeit', 'corona', 'vergessen', 'täglich', 'mensch', 'kriegsgebiet', 'flüchten', 'dabei', 'leben', 'riskieren', 'morgen', 'geben', 'großartig', 'stefan', 'stoppok', 'wohnzimmerkonzert', 'zugunsten']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Mar 29 08:47:23 +0000 2020,coronakrise,"Mein neuer Newsletter
Themen u.a.
👉#Coronakrise: 
#Kurzarbeitergeld, #Coronageld, #Obdachlosigkeit, #Tafeln
👉#Arbeitslosenversicherung zur #Arbeitsversicherung weiterentwickeln
👉sonstige #Arbeitsmarktpolitik 
👉#Grundeinkommen 
https://t.co/mRz6wwb3JI https://t.co/xqGfxlxZ8J","['neu', 'newsletter', 'thema', 'u', 'a', 'coronakrise', 'kurzarbeitergeld', 'coronageld', 'obdachlosigkeit', 'tafeln', 'arbeitslosenversicherung', 'arbeitsversicherung', 'weiterentwickeln', 'sonstig', 'arbeitsmarktpolitik', 'grundeinkommen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Apr 08 12:02:32 +0000 2020,kurzarbeitergeld,"#Kurzarbeitergeld nachbessern, um Beschäftigte besser vor #Armut zu schützen
Hier gibt es das Autor*innen-Papier von Katrin @GoeringEckardt @ToniHofreiter, @HajdukBundestag , @GrueneBeate Müller-Gemmeke und mir, in dem der Vorschlag genau beschrieben wird:
https://t.co/vUNnDL87NU","['kurzarbeitergeld', 'nachbessern', 'beschäftigt', 'gut', 'armut', 'schützen', 'geben', 'autor', 'innenpapier', 'katrin', 'müllergemmeke', 'vorschlag', 'genau', 'beschreiben']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 10 11:16:37 +0000 2020,kurzarbeitergeld,"@HanneloreKoenig @katdro @ToniHofreiter @GoeringEckardt @HajdukBundestag @GrueneBeate Genau das schlagen wir vor. Wer 1300 Euro netto hatte, soll 90% Kurzarbeitergeld und damit den höchsten Zuschlag bekommen. Hier im Detail zum Nachlesen:
https://t.co/vUNnDL87NU","['genau', 'schlagen', 'wer', 'euro', 'netto', 'sollen', 'kurzarbeitergeld', 'hoch', 'zuschlag', 'bekommen', 'detail', 'nachlesen']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Apr 19 13:15:36 +0000 2020,coronakrise,"Auch in Deutschland merken wir gerade jetzt in der #CoronaKrise, an welchen und wie vielen Stellen das Existenzminimum nicht gesichert ist. 
Ein #Grundeinkommen würde diese Löcher im Sozialsystem stopfen.","['deutschland', 'merken', 'gerade', 'coronakrise', 'vielen', 'stellen', 'existenzminimum', 'sichern', 'grundeinkommen', 'loch', 'sozialsystem', 'stopfen']"
"Strengmann-Kuhn, Dr. Wolfgang",Thu Apr 23 05:13:18 +0000 2020,kurzarbeitergeld,"Für kleine Einkommen reicht das nicht. 
Sie brauchen mehr als 80% #Kurzarbeitergeld, und zwar nicht erst nach sechs Monaten, sondern sofort!
https://t.co/tK7Rvoa62c","['klein', 'einkommen', 'reichen', 'brauchen', 'mehr', 'kurzarbeitergeld', 'erst', 'sechs', 'monat', 'sofort']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 24 13:21:44 +0000 2020,kurzarbeitergeld,"Kommentar von @stefansell zum #Kurzarbeitergeld - und warum unser grüner Vorschlag eines #KurzarbeitergeldPlus  besser gewesen wäre als der Beschluss der #GroKo. 
@GrueneBundestag @GrueneBeate @GoeringEckardt @HajdukBundestag @ToniHofreiter","['kommentar', 'kurzarbeitergeld', 'warum', 'grün', 'vorschlag', 'kurzarbeitergeldplus', 'gut', 'beschluß', 'groko']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 24 16:10:06 +0000 2020,kurzarbeitergeld,"Das #Kurzarbeitergeld muss nachgebessert werden. Es sollte gezielt für kleine bis mittlere Einkommensbereiche angehoben werden. Das ist notwendig, damit die Menschen aufgrund der Corona-Pandemie nicht in die #Armut abgleiten. #KurzarbeitergeldPlus 
https://t.co/SAi6P6WxMW","['kurzarbeitergeld', 'müssen', 'nachbessern', 'sollen', 'zielen', 'klein', 'mittlerer', 'einkommensbereich', 'anheben', 'notwendig', 'mensch', 'aufgrund', 'coronapandemie', 'armut', 'abgleiten', 'kurzarbeitergeldplus']"
