wordlist,wordlist (stemming),wordlist (spacy),wordlist (HanoverTagger)
Abstandsregel,abstandsregel,abstandsregel,abstandsregel
Abstrichzentrum,abstrichzentrum,abstrichzentrum,abstrichzentrum
Aerosol,aerosol,aerosol,aerosol
Alltagsmaske,alltagsmask,alltagsmaske,alltagsmaske
Ansteckungsgefahr,ansteckungsgefahr,ansteckungsgefahr,ansteckungsgefahr
Antikörpertest,antikörpertest,antikörpertest,antikörpertest
asymptomatisch,asymptomatisch,asymptomatisch,asymptomatisch
Atemmaske,atemmask,atemmaske,atemmaske
Atemschutzmaske,atemschutzmask,atemschutzmaske,atemschutzmaske
Ausgangsbeschränkung,ausgangsbeschränkung,ausgangsbeschränkung,ausgangsbeschränkung
Ausgangssperre,ausgangssperr,ausgangssperre,ausgangssperre
Ausgangsverbot,ausgangsverbot,ausgangsverbot,ausgangsverbot
Ausgehverbot,ausgehverbot,ausgehverbot,ausgehverbot
Ausreisesperre,ausreisesperr,ausreisesperre,ausreisesperre
Balkonien,balkonien,balkonien,balkon
Basisreproduktionszahl,basisreproduktionszahl,basisreproduktionszahl,basisreproduktionszahl
Beatmungsgerät,beatmungsgerät,beatmungsgerät,beatmungsgerät
Beatmungsmaschine,beatmungsmaschin,beatmungsmaschine,beatmungsmaschine
Beatmungsmaske,beatmungsmask,beatmungsmaske,beatmungsmaske
Beatmungsplatz,beatmungsplatz,beatmungsplatz,beatmungsplatz
Beatmungstherapie,beatmungstherapi,beatmungstherapie,beatmungstherapie
Behelfsmaske,behelfsmask,behelfsmaske,behelfsmaske
Behelfsmundschutz,behelfsmundschutz,behelfsmundschutz,behelfsmundschutz
Besuchsverbot,besuchsverbot,besuchsverbot,besuchsverbot
Bewegungsprofil,bewegungsprofil,bewegungsprofil,bewegungsprofil
Cocooning,cocoon,cocooning,cocooning
Corona,corona,corona,corona
Corona-Abitur,corona-abitur,corona-abitur,corona-abitur
Corona-App,corona-app,corona-app,corona-app
Corona-Tracing-App,corona-tracing-app,corona-tracing-app,corona-tracing-app
Corona-Warn-App,corona-warn-app,corona-warn-app,corona-warn-app
Coronabond,coronabond,coronabond,coronabond
Coronademo,coronademo,coronademo,coronademo
Coronaferien,coronaferien,coronaferien,coronaferien
coronafrei,coronafrei,coronafrei,coronafrei
Coronaimpfstoff,coronaimpfstoff,coronaimpfstoff,coronaimpfstoff
Coronakabinett,coronakabinett,coronakabinett,coronakabinett
Coronakrise,coronakris,coronakrise,coronakrise
Coronaparty,coronaparti,coronaparty,coronaparty
Coronaradweg,coronaradweg,coronaradweg,coronaradweg
Coronasünder,coronasünd,coronasünder,coronasünder
Coronasünderin,coronasünderin,coronasünderin,coronasünderin
coronaviral,coronavir,coronaviral,coronaviral
Coronavirus,coronaviru,coronavirus,coronavirus
COVID-19,covid-19,covid-19,covid-19
Desinfektion,desinfekt,desinfektion,desinfektion
Desinfektionsmittel,desinfektionsmittel,desinfektionsmittel,desinfektionsmittel
Desinfektionsspray,desinfektionsspray,desinfektionsspray,desinfektionsspray
desinfizieren,desinfizieren,desinfizieren,desinfizieren
Durchseuchung,durchseuchung,durchseuchung,durchseuchung
Einreisesperre,einreisesperr,einreisesperre,einreisesperre
Einreisestopp,einreisestopp,einreisestopp,einreisestopp
Einreiseverbot,einreiseverbot,einreiseverbot,einreiseverbot
Epidemie,epidemi,epidemie,epidemie
Epidemiologe,epidemiolog,epidemiologe,epidemiologe
Epidemiologie,epidemiologi,epidemiologie,epidemiologie
Epidemiologin,epidemiologin,epidemiologin,epidemiologin
Epizentrum,epizentrum,epizentrum,epizentrum
Existenzangst,existenzangst,existenzangst,existenzangst
Exit-Strategie,exit-strategi,exit-strategie,exit-strategie
exponentiell,exponentiel,exponentiell,exponentiell
Fallzahl,fallzahl,fallzahl,fallzahl
Geisterspiel,geisterspiel,geisterspiel,geisterspiel
Gesichtsmaske,gesichtsmask,gesichtsmaske,gesichtsmaske
Gesichtsschutz,gesichtsschutz,gesichtsschutz,gesichtsschutz
Gesichtsvisier,gesichtsvisi,gesichtsvisier,gesichtsvisier
Gesundheitsamt,gesundheitsamt,gesundheitsamt,gesundheitsamt
Grundvermehrungsrate,grundvermehrungsr,grundvermehrungsrate,grundvermehrungsrate
Hamsterkauf,hamsterkauf,hamsterkauf,hamsterkauf
hamstern,hamstern,hamstern,hamstern
Händedesinfektion,händedesinfekt,händedesinfektion,händedesinfektion
Herdenimmunität,herdenimmunität,herdenimmunität,herdenimmunität
Homeoffice,homeoffic,homeoffice,homeoffice
Homeschooling,homeschool,homeschooling,homeschooling
Hustenetikette,hustenetikett,hustenetikette,hustenetikette
Hygienedemo,hygienedemo,hygienedemo,hygienedemo
Hygienemaßnahme,hygienemaßnahm,hygienemaßnahme,hygienemaßnahme
Immunantwort,immunantwort,immunantwort,immunantwort
Immunglobulin,immunglobulin,immunglobulin,immunglobulin
Immuninsuffizienz,immuninsuffizienz,immuninsuffizienz,immuninsuffizienz
immunisieren,immunisieren,immunisieren,immunisieren
Immunisierung,immunisierung,immunisierung,immunisierung
Immunität,immunität,immunität,immunität
Immunreaktion,immunreakt,immunreaktion,immunreaktion
Immunschwäche,immunschwäch,immunschwäche,immunschwäche
Impfstoff,impfstoff,impfstoff,impfstoff
Infektiologe,infektiolog,infektiologe,infektiologe
Infektiologie,infektiologi,infektiologie,infektiologie
Infektiologin,infektiologin,infektiologin,infektiologin
Infektionsgeschehen,infektionsgeschehen,infektionsgeschehen,infektionsgeschehen
Infektionskette,infektionskett,infektionskette,infektionskette
Infektionsrate,infektionsr,infektionsrate,infektionsrate
Infektionswelle,infektionswel,infektionswelle,infektionswelle
Influenza,influenza,influenza,influenza
Inkubationszeit,inkubationszeit,inkubationszeit,inkubationszeit
Intensivbett,intensivbett,intensivbett,intensivbett
Intensivpflege,intensivpfleg,intensivpflege,intensivpflege
Intensivpflegestation,intensivpflegest,intensivpflegestation,intensivpflegestation
Intensivplatz,intensivplatz,intensivplatz,intensivplatz
Intubation,intub,intubation,intubation
Inzidenz,inzidenz,inzidenz,inzidenz
Katastrophenfall,katastrophenfal,katastrophenfall,katastrophenfall
Kindergartenschließung,kindergartenschließung,kindergartenschließung,kindergartenschließung
Kita-Schließung,kita-schließung,kita-schließung,kita-schließung
Kontaktbeschränkung,kontaktbeschränkung,kontaktbeschränkung,kontaktbeschränkung
Kontaktsperre,kontaktsperr,kontaktsperre,kontaktsperre
Kontaktverbot,kontaktverbot,kontaktverbot,kontaktverbot
Kontamination,kontamin,kontamination,kontamination
Krisenkabinett,krisenkabinett,krisenkabinett,krisenkabinett
Krisenmanagement,krisenmanag,krisenmanagement,krisenmanagement
Kurzarbeit,kurzarbeit,kurzarbeit,kurzarbeit
Kurzarbeiter,kurzarbeit,kurzarbeiter,kurzarbeit
Kurzarbeitergeld,kurzarbeitergeld,kurzarbeitergeld,kurzarbeitergeld
Kurzarbeiterin,kurzarbeiterin,kurzarbeiterin,kurzarbeiterin
Letalität,letalität,letalität,letalität
Lieferengpass,lieferengpass,lieferengpass,lieferengpass
Lockdown,lockdown,lockdown,lockdown
Lockerung,lockerung,lockerung,lockerung
Maskenmuffel,maskenmuffel,maskenmuffel,maskenmuffel
Maskenpflicht,maskenpflicht,maskenpflicht,maskenpflicht
Massentest,massentest,massentest,massentest
Mitigation,mitig,mitigation,mitigation
Mortalitätsrate,mortalitätsr,mortalitätsrate,mortalitätsrate
Mund-Nasen-Schutz,mund-nasen-schutz,mund-nasen-schutz,mund-nasen-schutz
Mundschutz,mundschutz,mundschutz,mundschutz
Nettoreproduktionszahl,nettoreproduktionszahl,nettoreproduktionszahl,nettoreproduktionszahl
Neuinfektion,neuinfekt,neuinfektion,neuinfektion
Niesetikette,niesetikett,niesetikette,niesetikette
Niesschutz,niesschutz,niesschutz,niesschutz
Notbetreuung,notbetreuung,notbetreuung,notbetreuung
Notfallpatient,notfallpati,notfallpatient,notfallpatient
Notfallpatientin,notfallpatientin,notfallpatientin,notfallpatientin
Pandemie,pandemi,pandemie,pandemie
Pandemieplan,pandemieplan,pandemieplan,pandemieplan
