name,screen_name,id,party,mention,date,tweet_id
"Altmaier, Peter",peteraltmaier,378693834,CDU,peteraltmaier,2020-03-02,1234465690754732032
"Altmaier, Peter",peteraltmaier,378693834,CDU,handelsblatt,2020-03-02,1234465690754732032
"Altmaier, Peter",peteraltmaier,378693834,CDU,peteraltmaier,2020-03-23,1242069483851845632
"Altmaier, Peter",peteraltmaier,378693834,CDU,OlafScholz,2020-03-29,1244309759123169280
"Altmaier, Peter",peteraltmaier,378693834,CDU,peteraltmaier,2020-03-29,1244309759123169280
"Altmaier, Peter",peteraltmaier,378693834,CDU,Thomas_Bareiss,2020-04-01,1245278601907515392
"Altmaier, Peter",peteraltmaier,378693834,CDU,welt,2020-08-01,1289443674976161792
"Altmaier, Peter",peteraltmaier,378693834,CDU,ifo_Institut,2020-09-24,1309044237930033154
"Altmaier, Peter",peteraltmaier,378693834,CDU,welt,2020-09-24,1309044237930033154
"Altmaier, Peter",peteraltmaier,378693834,CDU,welt,2020-10-13,1316030721270706177
"Altmaier, Peter",peteraltmaier,378693834,CDU,peteraltmaier,2020-12-16,1339261145811709962
"Annen, Niels",NielsAnnen,42401449,SPD,baerbelbas,2020-03-15,1239165420655054849
"Annen, Niels",NielsAnnen,42401449,SPD,WHO,2020-03-18,1240371886841880576
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-03-19,1240711171000369154
"Annen, Niels",NielsAnnen,42401449,SPD,luigidimaio,2020-03-19,1240711171000369154
"Annen, Niels",NielsAnnen,42401449,SPD,TschenPe,2020-03-23,1242029085179686912
"Annen, Niels",NielsAnnen,42401449,SPD,ndr,2020-03-23,1242029085179686912
"Annen, Niels",NielsAnnen,42401449,SPD,OlafScholz,2020-03-23,1242072246832771075
"Annen, Niels",NielsAnnen,42401449,SPD,GermaniaItalia,2020-03-24,1242412703349706752
"Annen, Niels",NielsAnnen,42401449,SPD,SachsenDe,2020-03-24,1242412703349706752
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-03-24,1242412703349706752
"Annen, Niels",NielsAnnen,42401449,SPD,AuswaertigesAmt,2020-03-25,1242797648123396096
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-03-25,1242797648123396096
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-03-25,1242797648123396096
"Annen, Niels",NielsAnnen,42401449,SPD,MiRo_SPD,2020-03-25,1242797648123396096
"Annen, Niels",NielsAnnen,42401449,SPD,Mi_Muentefering,2020-03-25,1242797648123396096
"Annen, Niels",NielsAnnen,42401449,SPD,SanDstBw,2020-03-28,1243854473790971904
"Annen, Niels",NielsAnnen,42401449,SPD,GermaniaItalia,2020-03-28,1243854473790971904
"Annen, Niels",NielsAnnen,42401449,SPD,AA_SicherReisen,2020-03-28,1243939227576000514
"Annen, Niels",NielsAnnen,42401449,SPD,sigmargabriel,2020-03-29,1244294974117761025
"Annen, Niels",NielsAnnen,42401449,SPD,winstonpeters,2020-03-30,1244695463405764615
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-03-30,1244695463405764615
"Annen, Niels",NielsAnnen,42401449,SPD,OlafScholz,2020-03-31,1244963158420267008
"Annen, Niels",NielsAnnen,42401449,SPD,OlafScholz,2020-04-08,1247766120330739712
"Annen, Niels",NielsAnnen,42401449,SPD,BrunoLeMaire,2020-04-08,1247767675918405633
"Annen, Niels",NielsAnnen,42401449,SPD,fdpbt,2020-04-10,1248572736550682624
"Annen, Niels",NielsAnnen,42401449,SPD,florian_toncar,2020-04-10,1248572736550682624
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-04-18,1251432702865178625
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-04-18,1251433501183954944
"Annen, Niels",NielsAnnen,42401449,SPD,UN,2020-04-27,1254724585892786177
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-05-18,1262328266553266176
"Annen, Niels",NielsAnnen,42401449,SPD,MarcSchemmel,2020-05-18,1262328266553266176
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-05-27,1265709076408930305
"Annen, Niels",NielsAnnen,42401449,SPD,UN,2020-05-27,1265709076408930305
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-06-03,1268226712040587264
"Annen, Niels",NielsAnnen,42401449,SPD,richelstauss,2020-07-07,1280592478282944513
"Annen, Niels",NielsAnnen,42401449,SPD,spdde,2020-07-07,1280592478282944513
"Annen, Niels",NielsAnnen,42401449,SPD,OlafScholz,2020-07-07,1280592478282944513
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-07-24,1286757744511455233
"Annen, Niels",NielsAnnen,42401449,SPD,m_ebrard,2020-07-24,1286757744511455233
"Annen, Niels",NielsAnnen,42401449,SPD,HeikoMaas,2020-07-26,1287410412347109376
"Annen, Niels",NielsAnnen,42401449,SPD,m_ebrard,2020-07-26,1287410412347109376
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-07-31,1289104884910915584
"Annen, Niels",NielsAnnen,42401449,SPD,handelsblatt,2020-07-31,1289104884910915584
"Annen, Niels",NielsAnnen,42401449,SPD,WFP,2020-08-15,1294559456550821888
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-08-15,1294559456550821888
"Annen, Niels",NielsAnnen,42401449,SPD,WFP,2020-09-17,1306523482059087872
"Annen, Niels",NielsAnnen,42401449,SPD,GermanyDiplo,2020-09-17,1306523482059087872
"Annen, Niels",NielsAnnen,42401449,SPD,WFPChief,2020-09-17,1306523482059087872
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-09-17,1306523482059087872
"Annen, Niels",NielsAnnen,42401449,SPD,_FriedrichMerz,2020-09-25,1309490988726050819
"Annen, Niels",NielsAnnen,42401449,SPD,welt,2020-09-27,1310219884102549509
"Annen, Niels",NielsAnnen,42401449,SPD,eesc,2020-11-10,1326100032941133824
"Annen, Niels",NielsAnnen,42401449,SPD,NielsAnnen,2020-11-10,1326100032941133824
"Annen, Niels",NielsAnnen,42401449,SPD,ZDFheute,2020-11-13,1327294746671321089
"Annen, Niels",NielsAnnen,42401449,SPD,welt,2020-11-22,1330423061598892032
"Annen, Niels",NielsAnnen,42401449,SPD,ItalyMFA,2020-12-04,1334811744385044485
"Annen, Niels",NielsAnnen,42401449,SPD,MiguelBergerAA,2020-12-05,1335113633894809600
"Annen, Niels",NielsAnnen,42401449,SPD,GermanyDiplo,2020-12-05,1335113633894809600
"Annen, Niels",NielsAnnen,42401449,SPD,TschenPe,2020-12-27,1343161253250949122
"Annen, Niels",NielsAnnen,42401449,SPD,melanieleonhard,2020-12-27,1343161253250949122
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,Uniklinik_Fr,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,OBMartinHorn,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,BWjetzt,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,AdeMontchalin,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,olivierveran,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,MiRo_SPD,2020-03-21,1241421479360815109
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,rumeliobserver,2020-03-26,1243185113564921858
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,DalhuisenJJ,2020-03-26,1243185113564921858
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,derspiegel,2020-03-26,1243185113564921858
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,NAubel_Potsdam,2020-04-02,1245643948959232002
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,tazgezwitscher,2020-04-14,1249951149177913344
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,ale_notbeer,2020-04-14,1249951149177913344
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,ABaerbock,2020-04-16,1250706010035171328
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,Girschick,2020-04-24,1253782169115336704
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,focusonline,2020-06-23,1275456516087336961
"Baerbock, Annalena",ABaerbock,2179010672,Bündnis 90/Die Grünen,gaborhalasz1,2020-08-07,1291834737477259265
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,fhaserodt,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,nettwerkerin,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,Bitkom,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,LSMueller,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,UlrichKelber,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,roofjoke,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,EFI_Kommission,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,fkarlitschek,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,DrBorisOtto,2020-01-23,1220220833571987458
"Bär, Dorothee",DoroBaer,140821364,CSU,rki_de,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,BMG_Bund,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,RegSprecher,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,JJSchom,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,Esri_de,2020-03-20,1240939079535153152
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-03-21,1241306421490302978
"Bär, Dorothee",DoroBaer,140821364,CSU,StZ_NEWS,2020-03-21,1241306421490302978
"Bär, Dorothee",DoroBaer,140821364,CSU,StN_News,2020-03-21,1241306421490302978
"Bär, Dorothee",DoroBaer,140821364,CSU,HeikoMaas,2020-05-25,1264981872205053954
"Bär, Dorothee",DoroBaer,140821364,CSU,VerenaDE,2020-06-08,1269989498613567490
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-06-08,1269989498613567490
"Bär, Dorothee",DoroBaer,140821364,CSU,noz_de,2020-06-08,1269989498613567490
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-06-16,1272752538383761408
"Bär, Dorothee",DoroBaer,140821364,CSU,Linuzifer,2020-06-16,1272909142819299330
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-07-03,1279086186523504640
"Bär, Dorothee",DoroBaer,140821364,CSU,gruenderszene,2020-07-03,1279086186523504640
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,KaiDiekmann,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,katha_krentz,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,lukizzl,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,SophiaRoediger,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,TijenOnaran,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,ChrisBoesenberg,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,anja_hendel,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,esinekalos,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,KenzaAbbou,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,froileinmueller,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,biancareitz_,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,wohlrapp,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,WHU_edu,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,ozmuhabir,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,pmk997,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,cihansugur,2020-10-23,1319727388297748480
"Bär, Dorothee",DoroBaer,140821364,CSU,DoroBaer,2020-12-17,1339606435752099846
"Bär, Dorothee",DoroBaer,140821364,CSU,DIEZEIT,2020-12-17,1339606435752099846
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,Thomas_Bareiss,2020-03-09,1236998418704281605
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,peteraltmaier,2020-03-13,1238444046567329793
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,Thomas_Bareiss,2020-03-17,1239937121999302658
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,Uniklinik_Fr,2020-03-21,1241429338408595456
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,RPFranceUE,2020-03-21,1241429338408595456
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,kneipenretter,2020-04-01,1245374590341300226
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,peteraltmaier,2020-04-03,1246183723323752451
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,BILD_Politik,2020-04-03,1246183723323752451
"Bareiß, Thomas",Thomas_Bareiss,2797812265,CDU,CSU,2020-04-08,1247902073640738826
